"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4"
"4.873384107/243.1597166","3.853535","3.831431","3.638680","4.071514","4.399176","4.147548","4.113426","4.608418","4.242696","4.330421","4.554706","4.170324","4.262435","4.570734","4.557870","4.359129","4.870966","3.650992","4.045942","3.683291","4.102130","3.926683","3.928843","3.607282","4.281836","4.395034","4.005949","3.706703","4.279890","4.571710","4.104988","4.681171","4.938531","4.924360","4.312292","4.838701","4.424233","3.928455","3.478452","3.904628","3.604120","3.525212","3.906275","3.533611","3.725372","4.056513","3.290692","3.401732","3.678080","4.236852","3.609626","3.692321","3.393005","3.329708"
"2.304825698/297.8655395","1.8567662","1.7929896","1.6719159","2.8032721","2.5015551","2.2984003","2.8821880","2.5561325","2.3898026","2.9634322","2.9086599","2.4092964","3.1690382","3.1423347","2.6752286","3.2020427","3.2438092","3.7946019","3.4757868","3.2432421","5.5950173","4.8844973","5.0961636","4.8124497","6.0967214","4.8694233","5.4399008","5.4912474","6.4154823","5.7898961","5.8611671","6.7853290","6.0381612","5.8135641","6.5180282","5.7671315","6.3759673","1.0345645","0.5904704","1.1806029","0.6233476","1.3736379","1.3851039","0.7648374","1.5404351","1.3855757","1.1908886","1.4365892","1.2595615","0.5451157","1.4278676","1.1465955","1.1966182","1.0563701"
"2.307626265/299.8624674","1.6352587","1.6625952","1.6010420","2.7321481","2.4014594","2.2746066","2.8263902","2.4383619","2.3410453","2.8920773","2.8187666","2.3670202","3.0673691","3.0505819","2.7045726","3.1252464","3.1499012","3.6515456","3.4156402","3.1390495","5.4203017","4.7694069","4.9839369","4.7050432","5.9390436","4.7421588","5.2721088","5.3857204","6.2604831","5.6491698","5.6484155","6.5509488","5.9498899","5.6315811","6.4008982","5.5231628","6.2421661","0.8396367","0.5204729","0.9533126","0.4753224","1.3382569","0.9482615","0.5660705","1.4497445","1.3132485","1.1581990","1.4001340","0.9467501","0.5613160","1.4980097","1.1108654","0.8434621","1.0955915"
"0.370324051/176.8362538","2.501871","3.546999","2.688828","3.190701","4.552626","3.857144","2.820452","3.362639","4.227264","2.882791","3.884486","4.527517","4.126475","4.591970","3.223787","3.606715","4.825919","3.778042","3.408356","3.027238","3.494687","2.611926","2.871493","3.136263","4.176313","4.774879","3.826322","3.116219","4.802244","4.363698","3.791968","5.041947","7.064887","4.532701","3.031791","6.728508","4.833986","3.584165","3.059993","2.871923","3.625721","3.061196","4.334282","2.913903","3.250744","2.722059","2.356681","3.086711","5.116984","5.040968","3.881229","3.458619","3.558756","2.614719"
"2.575517393/277.8838532"," 0.1907524"," 0.2328864"," 0.1830081"," 0.1918572"," 0.2659752"," 0.1890785"," 0.1871936"," 0.4908193"," 0.1881105"," 0.1874053"," 0.2111813"," 0.1880468"," 0.1853669"," 0.2044198"," 0.1884342"," 0.1891223"," 0.1922293"," 3.6504229"," 3.2131789"," 3.0810686"," 8.7403233"," 7.7406177"," 9.5184686"," 5.3516020","10.8125414"," 7.8808591","10.6046177"," 7.6959912","11.3278058","10.7671060","11.3134028","12.8915389","11.2521926","12.0856898","12.1854828","11.1017595","13.1755332"," 0.2083406"," 0.1905419"," 0.1859542"," 0.4662342"," 0.1845282"," 0.1836315"," 0.2616723"," 0.1889901"," 0.1905475"," 0.1975231"," 0.1896299"," 0.2430314"," 0.3538722"," 0.1857860"," 0.1839179"," 0.2490272"," 0.2157085"
"2.310495588/137.0241514","1.8729307","1.8193767","2.0976384","2.6682873","2.4894663","2.3873074","2.7778870","2.6026391","2.5491097","2.8196277","2.9994859","2.4773529","3.1120730","2.9442563","2.9158908","3.1257295","3.1706066","3.6890522","3.5468081","3.3775731","5.4196417","5.1514241","4.9645427","4.7856950","5.8414599","5.1514292","5.3550447","5.3480960","6.5188323","5.7240683","5.6994806","7.1543704","6.4055559","6.0250485","6.9339370","6.1838949","6.5912632","1.2978355","0.8544727","1.6481726","0.7910503","1.7942046","1.7226455","1.2936318","1.8236081","1.6887442","1.5327941","1.7461461","1.5163512","0.6241705","1.8589776","1.6318640","1.6988619","1.5331603"
"4.75254597/187.133699","3.375960","3.340553","4.197335","5.230284","5.729413","6.635179","6.057089","6.681891","7.451495","6.466644","7.935379","7.858320","7.400566","8.494609","8.316452","7.697972","9.283011","3.292122","3.368134","3.332649","4.646406","4.295887","4.601991","4.635394","4.967381","4.723892","5.218521","5.223805","5.430638","5.246694","5.417929","5.882821","5.694591","5.748535","5.728757","5.483980","6.153584","2.302701","2.698709","2.173465","3.135679","3.298623","2.648680","2.631328","4.274309","3.263575","2.507585","4.455079","3.128812","3.815659","4.853695","3.687810","2.991409","4.120941"
"3.363265394/587.1333179","3.0127688","2.8962434","2.9094865","3.4768028","3.1362195","3.5498630","3.8035814","4.0768675","3.8906768","4.0371915","4.5934135","4.3340059","4.7089942","5.0920450","4.7686627","4.6181363","5.4447675","3.1838750","3.5111880","4.2379536","6.3303503","6.6974487","7.0508737","6.6583991","7.0917660","7.3185915","7.5872652","7.4896026","7.5124626","8.6352972","7.8161346","7.6087883","9.3550998","7.7482827","7.2044935","8.3440449","8.0584552","0.2083406","0.1905419","0.1859542","0.2820428","1.8284414","0.1836315","0.2616723","1.6327000","0.4006934","0.1975231","1.6663515","0.2430314","0.3538722","2.3719479","0.1839179","0.2490272","1.6324964"
"5.17559848/418.0401958","3.462231","3.146257","3.274986","4.181201","3.850435","3.699949","4.314862","3.724598","3.771103","4.512408","4.108884","3.937881","4.402714","4.255631","3.887904","4.441787","4.250134","3.162866","3.226408","2.787878","4.178168","4.221669","3.576053","3.565611","4.206970","3.847054","3.705799","3.678305","4.429049","4.151573","3.722849","4.292968","3.865009","3.711923","4.029695","3.729428","3.615142","3.165381","3.171498","3.789959","3.879838","3.658647","4.119949","3.951256","3.465859","3.704051","4.277769","3.191921","3.538787","2.956953","3.371295","3.150654","4.207991","3.159656"
"2.46082436/393.2139436"," 0.1907524"," 0.2328864"," 0.1830081"," 0.1918572"," 0.2659752"," 0.1890785"," 0.1871936"," 0.2923256"," 0.1881105"," 0.1874053"," 0.2111813"," 0.1880468"," 0.1853669"," 0.2044198"," 0.1884342"," 0.1891223"," 0.3765449"," 3.1276868"," 3.6053708"," 3.5747322"," 8.1798542"," 9.8106683"," 9.3970018"," 5.3680039"," 9.7687430","10.3288159","10.6134596"," 6.7907840","10.9534165","11.8827096","11.2622087","12.0274199","12.9159435","11.8265431","12.2322639","12.1093524","12.2905932"," 0.2083406"," 0.1905419"," 0.1859542"," 0.2820428"," 0.1845282"," 0.1836315"," 0.2616723"," 0.1889901"," 0.3732197"," 0.1975231"," 0.1896299"," 0.2430314"," 0.3538722"," 0.1857860"," 0.3488377"," 0.2490272"," 0.2157085"
"5.190354772/484.9255873","3.472024","3.179227","3.199027","5.720620","3.300628","3.047418","5.304226","3.400575","3.090630","5.256836","3.233512","3.092354","5.542220","3.355014","3.157500","5.170569","3.277456","3.299766","3.250081","3.167537","5.006051","5.441549","3.012368","4.403779","5.045304","5.400075","3.114514","4.432311","5.097437","5.470753","3.082592","5.479856","5.396214","3.056813","5.564544","5.158182","3.077611","3.310351","3.153651","4.480865","5.508716","3.004288","5.342417","5.460645","2.679375","4.466472","5.183598","2.610415","4.838890","3.052534","2.464932","3.942727","5.181930","2.460210"
"5.176308076/454.0165606","3.384911","3.178578","3.687960","4.148110","3.746559","4.046670","4.334043","3.433899","4.226594","4.573682","4.048660","4.330665","4.289038","4.268924","4.383599","4.399584","4.344506","3.076246","3.197382","3.137105","4.179480","4.009338","3.917697","3.806245","4.243933","3.457102","4.088349","4.046636","4.408595","4.015484","4.035979","4.104686","3.419633","4.063333","3.717424","3.350248","3.926520","3.036927","3.225172","3.749639","3.697221","3.991376","3.957904","3.750852","3.819254","3.609317","4.189166","3.343722","3.181186","2.706434","3.681969","3.067347","4.077841","3.268600"
"3.127469678/404.2389002","2.269880","2.175913","2.868860","2.590730","2.530576","3.600438","2.619703","2.676017","3.635220","3.103593","2.899944","3.399740","3.119076","2.652623","3.454134","3.521663","2.912979","3.092455","2.591790","3.351831","3.802750","3.208590","3.690485","2.810643","3.292031","2.842466","2.609388","2.660126","3.043748","2.568401","2.940809","3.218047","1.525681","2.358663","1.821182","1.620057","3.040769","2.886126","3.077605","3.627992","3.055582","3.027994","2.511518","3.442493","3.480785","3.620206","3.153747","3.850610","2.523505","2.718132","3.332286","3.451664","2.818023","3.737901"
"2.95721552/186.1132638","2.737156","2.624409","2.878041","3.394202","4.256511","3.317321","3.459511","3.947706","2.877774","3.835607","4.539874","2.842279","3.753653","3.593257","3.378066","4.654243","3.666989","2.982490","3.037986","3.220398","3.680792","4.374726","3.083186","3.766342","4.720525","3.646885","3.009875","4.045699","3.860364","3.891658","3.094192","4.023692","3.854671","4.423308","3.806612","3.698159","3.179882","2.820444","2.508415","4.614408","2.868164","2.640266","4.125684","3.832323","2.716471","4.184498","2.864039","2.542939","3.947274","3.921904","2.599305","3.946786","2.828835","2.317240"
"3.028515968/571.1716848","0.3747192","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","2.9611801","3.3707696","2.8873199","4.5258834","5.5346926","1.9673460","2.7708707","4.6963257","6.8637577","4.7059917","2.8861149","5.3940695","6.9332015","3.0698249","6.2503545","8.9129745","2.4982057","5.7364493","8.1164678","5.8760707","0.2083406","0.1905419","0.3886257","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.4241519","0.6332259","0.1896299","0.2430314","0.3538722","0.4215375","0.5579058","0.4921470","0.5435471"
"3.815593294/159.1024348","1.637960","1.732695","1.492683","1.839602","2.447579","2.237295","2.054469","2.685855","2.516719","2.187668","2.241663","2.754467","2.206531","2.460932","3.170813","2.290264","2.619786","2.988913","2.994688","3.149933","4.600026","4.325500","4.636323","4.519047","5.013945","4.639272","5.293635","4.777099","5.418940","5.169250","5.618942","5.919662","5.876904","5.844648","5.814196","5.426695","5.990594","2.114052","1.327785","2.178002","2.710212","2.136235","2.710253","2.824940","2.955547","3.279482","2.435848","3.159350","1.956887","3.375217","3.961287","3.862805","2.939295","3.804428"
"3.028761563/511.176521","0.1907524","0.2328864","0.1830081","0.3967071","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","2.9251953","3.3379244","2.8675846","4.4840682","5.1572598","4.5660859","2.7538718","4.6675273","6.4665411","4.7289167","2.9479737","5.3243033","6.6224982","5.1130337","6.0196285","8.4275432","5.3714985","5.7442491","7.8426819","5.6137964","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.1905475","0.1975231","0.1896299","0.2430314","0.3538722","0.1857860","0.1839179","0.2490272","0.2157085"
"5.176114126/456.0136239","3.287317","3.090859","3.585725","4.013838","3.644607","3.981574","4.184260","3.289684","4.074030","4.412012","3.905005","4.169655","4.136474","4.139422","4.297288","4.282221","4.215661","3.008703","3.120217","3.010806","4.057948","3.918065","3.809262","3.718427","4.118597","3.397058","3.976417","3.943323","4.284759","3.838119","3.906375","3.986409","3.335625","3.903691","3.597808","3.224471","3.837985","2.951966","3.173503","3.703337","3.515243","3.860457","3.860529","3.644035","3.736879","3.489470","4.095021","3.259702","3.151813","2.627490","3.543171","2.940507","3.930741","3.177451"
"5.814128065/282.1858871"," 9.8469743"," 9.1727574"," 9.1786001","14.1849243","12.3766622","12.7745315","14.2932163","13.8818807","13.9801002","16.1976770","14.0159566","14.5957137","16.0794776","15.2057480","15.4070203","15.5443554","15.8932957"," 3.0081364"," 0.7619386"," 1.1879907"," 1.4609042"," 0.7881251"," 0.4082432"," 0.1646155"," 1.5637697"," 1.5786996"," 1.0291486"," 0.1559899"," 1.6074139"," 1.4402283"," 1.2190937"," 1.8141034"," 2.0721098"," 0.7950904"," 1.4467377"," 1.6964280"," 0.6644718"," 3.1098166"," 1.3150997"," 1.2277659"," 1.2841158"," 6.1347234"," 1.5895833"," 1.4930368"," 6.9635320"," 0.9000389"," 1.2564067"," 6.8258200"," 1.4868057"," 2.8276552"," 7.1946240"," 0.9714258"," 1.5181126"," 5.1565201"
"2.483000628/175.0608907","4.125083","4.561449","4.960444","6.454362","6.149733","7.570667","7.179654","5.897823","7.766068","6.424118","6.505783","7.250325","7.760356","7.386500","8.142019","6.859594","7.289931","3.108309","3.451529","3.900976","3.385071","3.777231","5.159112","3.165679","3.929191","3.531256","4.316428","2.847284","4.152074","3.340951","3.540904","3.469451","3.567937","3.393448","3.579838","3.041107","3.870828","1.224745","1.458375","3.537986","3.496547","5.014134","4.372419","4.004036","5.475658","4.268676","4.307088","5.523857","3.797084","4.385439","6.409980","5.396520","4.719602","6.405875"
"2.574811186/279.8808591"," 0.1907524"," 0.2328864"," 0.1830081"," 0.1918572"," 0.2659752"," 0.1890785"," 0.1871936"," 0.2923256"," 0.1881105"," 0.1874053"," 0.2111813"," 0.1880468"," 0.1853669"," 0.2044198"," 0.1884342"," 0.1891223"," 0.1922293"," 3.0616905"," 2.6492705"," 2.6663245"," 7.5357617"," 6.4985492"," 7.7309537"," 4.5523501"," 8.6418309"," 6.6771578"," 8.9506025"," 6.6238178"," 9.4130050"," 9.2250196"," 9.5512277","10.9765756"," 9.5487229","10.2629564","10.3231576"," 9.4466517","11.2652486"," 0.2083406"," 0.1905419"," 0.1859542"," 0.2820428"," 0.1845282"," 0.1836315"," 0.2616723"," 0.1889901"," 0.1905475"," 0.1975231"," 0.1896299"," 0.2430314"," 0.3538722"," 0.1857860"," 0.1839179"," 0.2490272"," 0.2157085"
"2.396966242/232.1185615","1.398878","1.394265","1.497352","2.145504","1.990478","2.339337","2.165754","2.220125","2.494026","2.214823","2.319508","2.612427","2.469659","2.599863","2.849282","2.523429","2.797531","2.880960","2.952278","2.885823","3.879517","3.791240","3.769541","3.257076","4.189200","3.685227","3.874431","3.487542","4.173859","4.055804","3.928857","4.446257","4.401888","3.830816","4.304215","3.770276","3.969122","1.765001","1.657276","3.207942","3.277147","3.172647","3.509142","3.747933","3.722393","3.788172","4.068120","3.428586","3.748992","3.751949","3.852473","3.818421","4.514341","3.786798"
"2.076745038/249.0623753"," 0.9380197"," 0.5644922"," 1.3756311"," 0.6306231"," 0.4884794"," 2.4482440"," 1.0629380"," 0.4205200"," 2.5267293"," 0.6734919"," 0.4482221"," 3.0046087"," 0.8403844"," 0.4540194"," 3.1015592"," 0.5319593"," 0.4576839"," 3.3318088"," 2.9604223"," 3.0539678"," 4.7088802"," 4.4011267"," 5.1497801"," 4.5080190"," 5.2942192"," 4.6583267"," 5.4853496"," 4.9986744"," 5.3662767"," 5.2636699"," 5.6951189"," 6.1196099"," 6.2316134"," 5.9948041"," 6.2312587"," 5.4035874"," 6.5578162"," 3.8336273"," 3.3146151"," 7.6447385"," 6.9191539"," 6.6375575"," 7.9246998"," 7.5529530"," 8.2351870"," 8.7645166"," 8.2010118"," 7.6236749","10.3162074"," 8.7568891"," 8.5001243"," 9.2328187"," 9.5029634"," 8.6671608"
"3.258684777/557.1697478"," 0.1907524"," 0.4202113"," 0.1830081"," 0.4141836"," 0.2659752"," 0.1890785"," 0.1871936"," 0.4726018"," 0.1881105"," 0.1874053"," 0.4023577"," 0.1880468"," 0.4112592"," 0.2044198"," 0.1884342"," 0.1891223"," 0.1922293"," 2.8360327"," 3.2319432"," 2.9940302"," 7.0688785"," 8.6846761"," 6.0623789"," 6.1485414"," 7.9155746","10.3241151"," 7.1313853"," 7.2380433"," 9.2734105","10.9663511"," 7.3949378","10.9854078","13.5116884"," 8.0569139"," 9.7893326","11.9312113"," 8.7930418"," 0.2083406"," 0.1905419"," 0.1859542"," 0.2820428"," 0.1845282"," 0.1836315"," 0.2616723"," 0.1889901"," 0.1905475"," 0.1975231"," 0.1896299"," 0.2430314"," 0.6615150"," 0.1857860"," 0.1839179"," 0.2490272"," 0.2157085"
"2.942580998/163.0397813","1.3320910","0.9162409","2.2829394","0.8972395","1.1366963","2.8475386","1.2503638","1.2144543","1.8922377","0.7475380","0.8903981","2.1763658","1.5062354","0.9410957","2.1693539","0.7906901","0.8370741","2.8560563","2.9673410","2.8788692","5.2732218","5.4867205","5.4600625","5.8187004","6.3753781","6.2672095","6.4285392","6.4289226","7.2990286","7.5120451","6.9804854","8.6082086","8.4884476","7.6492269","8.6179686","8.6646567","8.1520724","4.3855118","2.9328776","5.7218558","4.3531517","5.5459368","6.3422108","4.7882485","6.1729542","4.9684087","5.0917397","5.6333122","7.3422123","4.8613103","6.4275488","6.4149243","5.6440473","6.1750694"
"2.448827109/350.1352492","0.3551163","0.3986884","0.4208776","0.4606328","0.4714847","0.6508899","0.7081376","0.2923256","0.5045763","0.8235231","0.4649322","0.5312470","0.7776749","0.7536776","1.0634170","0.6347810","0.6986144","2.7127144","3.1052798","2.9880994","4.3034594","5.3655351","5.6586788","4.5291175","5.1406581","5.6993523","6.4545444","5.2909898","6.1058964","7.0824110","7.1303882","5.8602371","8.4247576","8.0171937","7.2202601","8.3297521","9.2538359","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.1905475","0.1975231","0.1896299","0.2430314","0.3538722","0.1857860","0.1839179","0.2490272","0.2157085"
