"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_1","ExControl-ExControl_2","ExControl-ExControl_3","ID","MZ","RT"
"882",3985.125347,1532.057098,2359.406234,0,1554.957729,4048.875914,3010.702583,0,4263.336306,2847.270511,0,4710.57063,0,22052.40016,6716.133989,35916.01285,0,7532.85593,3433.846658,1256058.865,1195017.013,1199870.89,1496880.525,5977435.443,3980255.713,7815456.556,1899569.761,5682444.874,1711972.546,6697277.716,2488705.344,6731949.603,2458724.483,8237644.483,6645832.942,4786306.965,3084871.479,8181463.66,4878344.033,13109092.17,1650676.717,7578826.48,93169.11373,1524.526741,14293.34553,0,1796.711275,2772.688029,0,5439.134116,23533.20532,3055.609717,1962.818151,32621.21651,0,11766.4967,13352.31061,1383.085475,8518.425688,1645.313583,16075.46765,0,1000,369.2126071,2.995538895
"883",242267.7286,105256.3814,268232.5053,326478.1283,64484.20076,113642.9565,442044.019,127243.6034,346000.5197,161914.9302,532728.6453,221103.4526,159398.8208,600381.5724,417611.4142,452003.398,3074.012361,520245.0164,645198.8822,2634084.074,628057.2854,1689070.935,771986.2451,2768708.505,1259042.933,2994842.171,1146451.926,1932254.261,565208.5191,2030227.697,978247.4165,2197118.22,679896.3179,1749442.867,841651.0646,1075598.82,230877.8476,1030325.938,939055.5029,1060039.445,168367.4219,604308.015,273574.3554,297034.4697,1777725.532,417193.2837,669551.0107,1997763.076,701206.1346,1491469.754,1540828.649,1254597.428,427972.0315,721401.5006,525356.4806,4420084.801,9040941.292,1513898.054,665393.5707,1614.69909,0,856.5047145,1001,148.0601677,0.596867938
"884",0,0,0,3973.457226,1031.808324,0,6194.539565,0,0,0,0,0,0,0,0,0,0,3826.123804,0,1082917.209,493579.3747,923782.2267,2101089.019,6656322.534,6194673.771,8591992.702,9072010.499,7997222.448,2859688.498,10241525.74,11938771.4,10151514.03,6089970.048,13540652.66,7238015.642,10930836.11,4810321.458,11704923.5,7228368.656,15058319.69,3006221.138,10475906.66,0,2019.336023,0,0,0,0,1261.107856,0,2736.984727,0,0,0,944.3535252,4202.568682,1409.80935,2267.213706,4806.513106,0,86347.21343,0,1002,293.058003,3.281575954
"918",30154.51063,10869.83236,56726.52751,316018.165,77887.64819,253425.0996,335916.3032,63720.58047,359875.5594,288158.7617,229252.2463,328457.976,103836.3622,402451.0065,308891.1154,341176.4399,1078.005948,318954.246,422462.15,1143117.267,1129053.787,862121.2455,1757386.292,4404124.855,1835850.373,5106816.693,5974990.747,4324084.668,546016.1737,5483541.807,6240561.017,3700677.069,966498.0527,4580930.083,4194770.955,2979235.66,815534.4121,5631488.844,2375133.94,5556510.103,615555.6573,3788827.509,2535.678493,16621.57344,26034.8671,69758.61683,150102.6808,534488.6379,194665.2887,313264.6441,179658.0851,758764.0452,213156.013,300877.8184,91137.62095,489891.257,393002.1109,572975.1876,193053.2973,0,7182.379407,0,1039,655.2235593,3.688089663
"940",5876012.661,1449785.401,3935811.991,12472646.61,2128731.47,7840666.419,12750568.66,2041264.399,8053325.368,13676738.41,9745680.006,8708984.077,4557994.168,17840881.14,13263429.71,11460583.21,474244.8777,17497938.45,15265332.61,2805290.268,1374324.132,1400428.596,503395.1212,5476816.524,1681741.845,2841051.49,3339949.225,4456684.613,595073.0017,2598169.479,5229904.175,4039749.251,1053590.062,2531977.891,6815275.128,3214644.84,840027.3401,2509111.365,4248996.836,4821056.97,467647.9685,2592477.33,1616521.897,1458041.418,5607875.472,1386454.242,4467729.246,7712902.714,2256561.06,6388366.055,9321080.771,6509245.397,5811568.103,5528966.992,955662.4333,8164226.331,12088811.23,4778794.475,4418407.112,0,0,1245.607272,1065,150.077179,0.644516086
"951",753080.9118,498743.1929,1087291.864,2780607.236,688149.9209,3088003.915,4093328.227,525124.2996,4880336.012,4624761.621,2477903.651,5950768.585,661253.4134,6410718.916,4978024.039,6989447.219,79736.39318,6514968.035,6968548.267,1030159.095,842479.0704,1034461.917,1283416.381,6637406.598,1821382.776,6446945.49,6296600.732,7992529.716,498386.0229,6917235.064,5355581.853,6158948.287,1031175.121,6463066.13,3281058.072,3429275.321,564117.7943,5149395.094,1341021.074,5923403.016,411972.0273,3513200.777,746285.8538,1399739.09,3681125.058,1568767.131,3692530.872,5057907.019,2030805.145,5486402.88,4797967.957,9873888.963,2951738.676,2127296.753,899459.1891,5990356.992,6480516.533,4893688.891,2360042.188,21933.66475,7254.788839,11313.43698,1079,191.08468,2.895236301
"979",17512.45021,24307.81602,46744.46533,317989.5393,112057.0112,262844.073,323916.0056,99249.66359,337928.0831,261790.216,247651.324,288257.4573,187463.352,396652.3423,366638.0618,392526.7073,7195.316711,357344.3742,405640.1499,1085679.409,1322466.356,764518.5586,2570656.425,3714081.61,2429245.535,4790956.412,7160893.38,4208593.648,776132.4905,5740916.975,7978855.424,3556597.18,1322612.679,4003663.386,4906165.322,2933945.749,1182043.378,5905028.512,3801377.7,5619539.964,829412.6622,3581407.949,10554.38656,21805.21162,9656.085285,97226.16767,85061.99493,192637.7047,237719.7708,174287.5345,89812.62441,542500.3014,281160.9862,264078.2434,120530.5942,174505.0076,233493.723,503310.7731,295043.1444,0,9732.276059,0,1117,677.2049758,3.689534528
"989",0,0,0,0,0,0,7922.574284,0,0,0,0,0,0,0,5425.977621,0,0,4737.068532,0,1061621.788,163513.267,64480.80733,3116448.171,7041288.219,2545084.681,2505171.11,12062542.12,7438883.015,2453981.109,4959827.166,16451774.05,10881143.57,6424832.059,7771046.915,14809657.44,15763049.16,3768873.796,9919316.38,11619872.62,19643297.2,5096218.277,9729271.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38880.69318,0,1131,288.1433381,0.374146533
"1007",3375.496434,1181.951362,66155.00758,2703.889574,0,349606.8645,4015.022927,0,402217.0679,3200.567571,2819.786878,486734.1475,0,2515.023287,0,690338.41,0,2337.736768,7177.158116,1343431.686,738590.6845,766142.232,1707139.612,6509413.793,2318444.661,4590183.432,2792539.498,7679716.997,900585.0884,4313560.182,3805499.062,5592124.424,1570441.476,4455026.978,4360883.139,5369741.422,1419955.892,4908294.994,3179007.668,8988292.433,831961.5455,4113281.59,2536394.411,1395676.678,30488056.53,5201973.399,11130251.86,38762271.29,8230925.094,16077649.33,40058658.06,25555744.06,12674059.25,25512394.28,4105613.475,16061770.34,43811553.15,16905134.78,12829567.48,0,4645.214208,762.8131122,1153,273.0588912,2.080594363
"1075",0,0,1585.250041,3662.503082,0,5095.982659,6410.785142,0,2586.261095,10431.1602,3822.413811,3341.041055,0,27204.03091,11712.26113,11182.41889,0,9038.707459,31215.13332,855665.0827,853080.2188,999108.0227,1267637.314,4154546.068,2872962.238,6553528.86,1617616.475,3887356.453,1233955.163,5813005.485,2257179.599,4342291.543,1715903.885,6640077.238,5375473.51,3424442.388,2029510.281,6859460.872,3792920.905,8828390.516,1182216.172,5790332.063,1315.4571,1745.277571,12483.43348,0,1847.354503,16467.80746,1359.507351,8446.88265,53186.7126,21603.34012,3424.950097,3055.02396,0,20104.79014,21352.9549,5505.854415,5670.20569,0,17399.04734,0,1234,253.1176223,2.933037037
