Compound,inchi key,Label,TheoreticalMZ,mzMin,mzMax,avgMZ,rtMin,rtMax,avgRt
101,TWBYWOBDOCUKOW-UHFFFAOYSA-N,Isonicotinic acid,122.0247,122.0197,122.0297,122.0247,5.46,6.19,5.77
102,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-HYDROXYBENZOATE,137.0244,137.0194,137.0294,137.0244,5.01,6.21,5.72
104,PWKSKIMOESPYIA-BYPYZUCNSA-N,N-ACETYL-L-CYSTEINE,162.023,162.018,162.028,162.0230,5.04,5.84,5.40
105,LHGVFZTZFXWLCP-UHFFFAOYSA-N,GUAIACOL,123.0451,123.0401,123.0501,123.0451,5.56,6.33,5.96
106,DZTHIGRZJZPRDV-GFCCVEGCSA-N,N-ACETYL-D-TRYPTOPHAN,245.0931,245.0881,245.0981,245.0931,5.36,5.96,5.68
107,PVNIIMVLHYAWGP-UHFFFAOYSA-N,Nicotinic acid (Niacin),122.0247,122.0197,122.0297,122.0247,5.39,6.18,5.77
108,WJXSWCUQABXPFS-UHFFFAOYSA-N,3-HYDROXYANTHRANILATE,152.0353,152.0303,152.0403,152.0353,5.08,6.51,5.86
109,UGQMRVRMYYASKQ-KQYNXXCUSA-N,INOSINE,267.0735,267.0685,267.0785,267.0735,5.57,6.35,5.97
110,CGQCWMIAEPEHNQ-QMMMGPOBSA-N,3-METHOXY-4-HYDROXYMANDELATE,197.0455,197.0405,197.0505,197.0455,5.78,6.18,5.99
111,XNSAINXGIQZQOO-SRVKXCTJSA-N,THYROTROPIN RELEASING HORMONE,361.163,361.158,361.168,361.1630,5.48,7.39,6.59
112,YKBGVTZYEHREMT-KVQBGUIXSA-N,2'-DEOXYGUANOSINE,266.0895,266.0845,266.0945,266.0895,5.88,6.55,6.26
113,HEBKCHPVOIAQTA-NGQZWQHPSA-N,XYLITOL,151.0612,151.0562,151.0662,151.0612,5.99,6.84,6.38
116,UYTPUPDQBNUYGX-UHFFFAOYSA-N,GUANINE,150.0421,150.0371,150.0471,150.0421,6.09,6.63,6.38
117,JVGVDSSUAVXRDY-UHFFFAOYSA-N,3-(4-HYDROXYPHENYL)LACTATE,181.0506,181.0456,181.0556,181.0506,6.33,6.95,6.62
118,PXQPEWDEAKTCGB-UHFFFAOYSA-N,OROTATE,155.0098,155.0048,155.0148,155.0098,6.6,7.43,7.04
119,HEBKCHPVOIAQTA-IMJSIDKUSA-N,L-ARABITOL,151.0612,151.0562,151.0662,151.0612,6.1,6.81,6.38
120,UHDGCWIWMRVCDJ-XVFCMESISA-N,CYTIDINE,242.0782,242.0732,242.0832,242.0782,6.28,6.91,6.57
121,MNQZXJOMYWMBOU-UHFFFAOYSA-N,GLYCERALDEHYDE,89.0244,89.0194,89.0294,89.0244,5.97,7.28,6.79
122,POJWUDADGALRAB-UHFFFAOYSA-N,ALLANTOIN,157.0367,157.0317,157.0417,157.0367,6.7,7.16,6.93
123,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,BIOTIN,243.0809,243.0759,243.0859,243.0809,5.94,7.17,6.58
124,COLNVLDHVKWLRT-QMMMGPOBSA-N,L-PHENYLALANINE,164.0717,164.0667,164.0767,164.0717,6.58,7.25,6.83
125,KTHDTJVBEPMMGL-VKHMYHEASA-N,N-ACETYL-L-ALANINE,130.0509,130.0459,130.0559,130.0509,6.44,7.81,7.32
126,GHOKWGTUZJEAQD-ZETCQYMHSA-N,D-PANTOTHENIC ACID,218.1034,218.0984,218.1084,218.1034,6.63,7.68,7.20
128,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,NORLEUCINE,130.0873,130.0823,130.0923,130.0873,6.77,7.17,7.03
129,ROHFNLRQFUQHCH-UHFFFAOYSA-N,LEUCINE,130.0873,130.0823,130.0923,130.0873,6.72,7.18,7.03
130,UZTFMUBKZQVKLK-UHFFFAOYSA-N,4-ACETAMIDOBUTANOATE,144.0666,144.0616,144.0716,144.0666,6.68,7.51,7.19
131,QIVBCDIJIAJPQS-VIFPVBQESA-N,L-TRYPTOPHAN,203.0826,203.0776,203.0876,203.0826,7.2,7.89,7.43
132,AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-ISOLEUCINE,130.0873,130.0823,130.0923,130.0873,7.18,7.55,7.31
133,FFEARJCKVFRZRR-BYPYZUCNSA-N,methionine,148.0437,148.0387,148.0487,148.0437,7.58,8.3,7.74
135,UFIVEPVSAGBUSI-REOHCLBHSA-N,(S)-DIHYDROOROTATE,157.0255,157.0205,157.0305,157.0255,7.96,8.52,8.27
136,OKJIRPAQVSHGFK-UHFFFAOYSA-N,N-ACETYLGLYCINE,116.0353,116.0303,116.0403,116.0353,8.12,8.68,8.38
137,MRBKRZAPGUCWOS-UHFFFAOYSA-N,3-AMINO-4-HYDROXYBENZOIC ACID,152.0353,152.0303,152.0403,152.0353,8.1,8.94,8.48
140,SNDPXSYFESPGGJ-BYPYZUCNSA-N,L-NORVALINE,116.0717,116.0667,116.0767,116.0717,8.02,8.66,8.29
141,AEMRFAOFKBGASW-UHFFFAOYSA-N,glycolic acid,75.0087,75.0037,75.0137,75.0087,7.19,8.23,7.99
142,JJIHLJJYMXLCOY-UHFFFAOYSA-N,N-ACETYL-DL-SERINE,146.0459,146.0409,146.0509,146.0459,8.03,8.76,8.38
143,KZSNJWFQEVHDMF-BYPYZUCNSA-N,valine,116.0717,116.0667,116.0767,116.0717,7.92,8.74,8.29
144,VZXPDPZARILFQX-BYPYZUCNSA-N,O-ACETYL-L-SERINE,146.0459,146.0409,146.0509,146.0459,8.03,8.76,8.38
145,ODHCTXKNWHHXJC-VKHMYHEASA-N,5-OXO-L-PROLINE,128.0353,128.0303,128.0403,128.0353,8.15,8.7,8.42
146,UBORTCNDUKBEOP-UUOKFMHZSA-N,XANTHOSINE,283.0684,283.0634,283.0734,283.0684,8.48,9.05,8.73
147,SLWWJZMPHJJOPH-PHDIDXHHSA-N,3-Dehydroshikimic acid,171.0299,171.0249,171.0349,171.0299,8.35,8.9,8.66
148,RBNPOMFGQQGHHO-UWTATZPHSA-N,D-GLYCERIC ACID,105.0193,105.0143,105.0243,105.0193,8.34,9.07,8.68
150,QPEJHSFTZVMSJH-UHFFFAOYSA-N,3-AMINO-5-HYDROXYBENZOIC ACID,152.0353,152.0303,152.0403,152.0353,8.05,9.02,8.48
151,BDJRBEYXGGNYIS-UHFFFAOYSA-N,AZELAIC ACID,187.0976,187.0926,187.1026,187.0976,8.27,9.31,8.79
153,LEHOTFFKMJEONL-UHFFFAOYSA-N,URATE,167.021,167.016,167.026,167.0210,8.7,9.35,8.99
155,YQUVCSBJEUQKSH-UHFFFAOYSA-N,"3,4-DIHYDROXYBENZOATE",153.0193,153.0143,153.0243,153.0193,8.25,10.26,8.73
156,HHLFWLYXYJOTON-UHFFFAOYSA-N,GLYOXYLIC ACID,72.9931,72.9881,72.9981,72.9931,7.94,9.29,8.63
157,ONIBWKKTOPOVIA-BYPYZUCNSA-N,proline,114.056,114.051,114.061,114.0560,8.57,9.44,8.96
158,OFOBLEOULBTSOW-UHFFFAOYSA-N,MALONATE,103.0037,102.9987,103.0087,103.0037,8.9,10.56,9.46
159,FUOOLUPWFVMBKG-UHFFFAOYSA-N,2-aminoisobutyric acid,102.056,102.051,102.061,102.0560,8.83,9.39,9.14
160,AAWZDTNXLSGCEK-LNVDRNJUSA-N,QUINATE,191.0561,191.0511,191.0611,191.0561,8.91,9.7,9.23
163,ZOOGRGPOEVQQDX-UUOKFMHZSA-N,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",344.0401,344.0351,344.0451,344.0401,9.16,9.79,9.44
164,FUOOLUPWFVMBKG-UHFFFAOYSA-N,2-AMINO-2-METHYLPROPANOATE,102.056,102.051,102.061,102.0560,8.84,9.42,9.14
171,XOAAWQZATWQOTB-UHFFFAOYSA-N,TAURINE,124.0074,124.0024,124.0124,124.0074,9.7,10.19,9.92
172,CZMRCDWAGMRECN-UGDNZRGBSA-N,sucrose,341.1089,341.1039,341.1139,341.1089,9.75,10.27,10.06
173,PMMYEEVYMWASQN-DMTCNVIQSA-N,L-hydroxyproline (cis-4-Hydroxy-D-proline),130.0509,130.0459,130.0559,130.0509,9.78,10.44,10.11
178,PMMYEEVYMWASQN-DMTCNVIQSA-N,TRANS-4-HYDROXYPROLINE,130.0509,130.0459,130.0559,130.0509,9.73,10.39,10.05
179,PMMYEEVYMWASQN-BKLSDQPFSA-N,4-HYDROXY-L-PROLINE,130.0509,130.0459,130.0559,130.0509,9.76,10.46,10.12
180,UCMIRNVEIXFBKS-UHFFFAOYSA-N,BETA-ALANINE,88.0404,88.0354,88.0454,88.0404,9.99,10.58,10.24
182,XJMMNTGIMDZPMU-UHFFFAOYSA-N,3-METHYGLUTARIC ACID,145.0506,145.0456,145.0556,145.0506,9.97,10.73,10.39
183,WLJVNTCWHIRURA-UHFFFAOYSA-N,6-CARBOXYHEXANOATE,159.0663,159.0613,159.0713,159.0663,10.02,10.8,10.37
184,QNAYBMKLOCPYGJ-REOHCLBHSA-N,L-ALANINE,88.0404,88.0354,88.0454,88.0404,9.93,10.53,10.24
185,FGSBNBBHOZHUBO-UHFFFAOYSA-N,2-OXOADIPATE,159.0299,159.0249,159.0349,159.0299,9.84,10.81,10.31
187,AYFVYJQAPQTCCC-HRFVKAFMSA-N,L-ALLOTHREONINE,118.0509,118.0459,118.0559,118.0509,10.1,10.68,10.43
188,AYFVYJQAPQTCCC-GBXIJSLDSA-N,L-THREONINE,118.0509,118.0459,118.0559,118.0509,10.1,10.71,10.43
190,KDYFGRWQOYBRFD-UHFFFAOYSA-N,SUCCINATE,117.0193,117.0143,117.0243,117.0193,10.29,11.24,10.69
192,CVSVTCORWBXHQV-UHFFFAOYSA-N,CREATINE,130.0622,130.0572,130.0672,130.0622,10.02,10.64,10.48
193,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ALPHA-KETOGLUTARIC ACID,145.0142,145.0092,145.0192,145.0142,10.49,11.32,10.88
194,UKAUYVFTDYCKQA-VKHMYHEASA-N,HOMOSERINE,118.0509,118.0459,118.0559,118.0509,10.72,11.05,10.82
197,RGHNJXZEOKUKBD-SQOUGZDYSA-N,D-GLUCONATE,195.051,195.046,195.056,195.0510,9.73,11.14,10.22
198,AEMOLEFTQBMNLQ-AQKNRBDQSA-N,D-GLUCURONIC ACID,193.0354,193.0304,193.0404,193.0354,10.24,10.83,10.61
200,OTCCIMWXFLJLIA-BYPYZUCNSA-N,N-ACETYL-L-ASPARTIC ACID,174.0408,174.0358,174.0458,174.0408,10.63,11.64,11.07
201,GUBGYTABKSRVRQ-QKKXKWKRSA-N,D-LACTOSE,341.1089,341.1039,341.1139,341.1089,9.71,10.93,10.43
202,WNLRTRBMVRJNCN-UHFFFAOYSA-N,ADIPIC ACID,145.0506,145.0456,145.0556,145.0506,10.73,11.44,10.96
203,HDTRYLNUVZCQOY-LIZSDCNHSA-N,D-(+)-TREHALOSE,341.1089,341.1039,341.1139,341.1089,9.77,11.06,10.45
204,GNISQJGXJIDKDJ-YFKPBYRVSA-N,O-SUCCINYL-L-HOMOSERINE,218.067,218.062,218.072,218.0670,10.47,11.27,10.89
207,JFCQEDHGNNZCLN-UHFFFAOYSA-N,GLUTARIC ACID,131.035,131.03,131.04,131.0350,10.84,11.59,11.18
208,HGINADPHJQTSKN-UHFFFAOYSA-N,MONO-ETHYL MALONATE,131.035,131.03,131.04,131.0350,10.88,11.6,11.18
209,DHMQDGOQFOQNFH-UHFFFAOYSA-N,GLYCINE,74.0247,74.0197,74.0297,74.0247,10.94,11.41,11.22
210,VZCYOOQTPOCHFL-OWOJBTEDSA-N,FUMARATE,115.0037,114.9987,115.0087,115.0037,10.96,11.87,11.35
211,MTCFGRXMJLQNBG-REOHCLBHSA-N,L-SERINE,104.0353,104.0303,104.0403,104.0353,11.02,11.88,11.37
212,AEMOLEFTQBMNLQ-DTEWXJGMSA-N,D-(+)-GALACTURONIC ACID,193.0354,193.0304,193.0404,193.0354,10.26,10.91,10.77
213,WHUUTDBJXJRKMK-VKHMYHEASA-N,L-GLUTAMIC ACID,146.0459,146.0409,146.0509,146.0459,10.67,12.77,11.27
214,BJEPYKJPYRNKOW-UHFFFAOYSA-N,malic acid,133.0142,133.0092,133.0192,133.0142,11,12.97,11.84
216,OVBPIULPVIDEAO-LBPRGKRZSA-N,FOLIC ACID,440.1324,440.1274,440.1374,440.1324,11.47,12.45,11.91
217,RHGKLRLOHDJJDR-BYPYZUCNSA-N,CITRULLINE,174.0884,174.0834,174.0934,174.0884,11.32,12.23,11.66
218,OYIFNHCXNCRBQI-BYPYZUCNSA-N,ALPHA-AMINOADIPATE,160.0615,160.0565,160.0665,160.0615,11.08,11.76,11.40
219,VEYYWZRYIYDQJM-ZETCQYMHSA-N,NALPHA-ACETYL-L-LYSINE,187.1088,187.1038,187.1138,187.1088,11.37,11.81,11.60
220,UDMBCSSLTHHNCD-KQYNXXCUSA-N,ADENOSINE 5'-MONOPHOSPHATE,346.0558,346.0508,346.0608,346.0558,10.95,12.56,11.56
221,BTCSSZJGUNDROE-UHFFFAOYSA-N,Y-Aminobutyric acid,102.056,102.051,102.061,102.0560,11.55,12.33,11.77
222,CKLJMWTZIZZHCS-REOHCLBHSA-N,L-ASPARTATE,132.0302,132.0252,132.0352,132.0302,11.43,12.55,11.87
223,DHCLVCXQIBBOPH-UHFFFAOYSA-N,GLYCEROL 2-PHOSPHATE,171.0064,171.0014,171.0114,171.0064,11.63,12.57,12.24
224,BTCSSZJGUNDROE-UHFFFAOYSA-N,4-AMINOBUTANOATE,102.056,102.051,102.061,102.0560,11.51,12.21,11.75
225,JJMDCOVWQOJGCB-UHFFFAOYSA-N,5-aminovaleric acid (5-aminopentanoic acid),116.0717,116.0667,116.0767,116.0717,11.78,12.49,12.16
226,AWUCVROLDVIAJX-GSVOUGTGSA-N,SN-GLYCEROL 3-PHOSPHATE,171.0064,171.0014,171.0114,171.0064,11.59,12.53,12.23
227,MUBZPKHOEPUJKR-UHFFFAOYSA-N,OXALIC ACID,88.988,88.983,88.993,88.9880,11.66,12.9,12.21
229,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-HISTIDINOL,140.0829,140.0779,140.0879,140.0829,11.54,13.23,12.61
230,CQOVPNPJLQNMDC-ZETCQYMHSA-N,CARNOSINE,225.0993,225.0943,225.1043,225.0993,13.44,14.54,13.99
231,KRKNYBCHXYNGOX-UHFFFAOYSA-N,CITRATE,191.0197,191.0147,191.0247,191.0197,15.96,19.46,17.84
232,ODBLHEXUDAPZAU-ZAFYKAAXSA-N,isocitrate,191.0197,191.0147,191.0247,191.0197,15.92,19.48,17.84
233,ODKSFYDXXFIFQN-BYPYZUCNSA-N,L-ARGININE,173.1044,173.0994,173.1094,173.1044,17.85,18.98,18.32
234,KDXKERNSBIXSRK-YFKPBYRVSA-N,L-LYSINE,145.0982,145.0932,145.1032,145.0982,17.99,19.18,18.52
