Sample,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
3-HYDROXYANTHRANILATE,1.253589832,1.100394553,1.05178384,1.768442995,1.369773221,1.681100761,1.155086636,3.186078773,1.574420862,2.759441687,2.342493991,1.41128275,1.218421323,1.835862939,2.969400074,1.729634721,1.254202741,1.354596918,2.425146254,1.024363532,1.770808281,1.122047893,2.02494603,1.52196683
3-METHOXY-4-HYDROXYMANDELATE,2.337403733,1.399916792,1.704462605,1.144796712,3.473874338,1.470490947,2.315003941,2.191416996,4.652416633,2.396355698,1.729487518,4.635860932,5.256893894,2.105664816,2.608051887,4.161051601,5.614985955,2.320841986,2.932149233,4.498001796,5.088095506,2.441121569,3.059365531,4.251404561
3-METHYLADENINE,4.777493464,4.774066137,3.525223949,3.750613983,4.631182969,4.817624904,4.436724499,5.247756318,5.904213164,6.074829588,4.828506191,5.799511339,5.237009697,5.413307265,5.00439355,6.693836596,5.89741875,6.194504633,5.106810393,6.664071498,5.319634776,6.078641103,5.857220212,6.707224098
"3,4-DIHYDROXYBENZOATE",2.496299582,5.099711586,4.016521571,1.779567783,2.069709958,5.703108531,6.716992679,7.825464692,3.512785134,5.933634342,10.14345264,4.81230424,5.141236106,7.923067296,8.15372669,3.489729971,6.858622264,7.144499508,7.900264302,5.46740765,7.611751091,9.015507752,8.336315977,5.36619632
"3,4-Dihydroxyphenylglycol",3.469497706,1.760051876,3.203779056,1.791674154,1.299863876,1.543623895,2.904312827,2.605549005,1.969809065,2.263164397,3.545773686,1.322689719,3.314503029,1.321833381,3.054080894,2.880694319,3.321926949,2.533725216,3.150477127,1.429294881,2.905407899,2.035649562,3.51247212,1.716269162
Cyclic AMP,0.059266301,0.868060438,0.725583775,0.260882624,0.367083937,1.369005131,0.517398909,0.991120298,0.426947411,1.470974003,1.215216845,0.039201901,0.751579218,1.552161963,1.380559473,0.045755603,0.91780042,1.285811903,0.984515839,0.898382557,1.575516088,1.480479764,1.723061544,0.315479216
4-ACETAMIDOBUTANOATE,3.464333251,1.739187825,5.148518109,1.927015885,2.355918346,2.743432453,2.757589366,5.00226387,3.155452486,6.221669614,5.230734492,2.867645765,3.769764223,5.433767311,10.29567457,3.09795433,4.499111749,3.774534258,8.26165204,4.269242209,5.64174972,6.681783287,5.903264331,4.585657632
4-GUANIDINOBUTANOATE,5.625711758,4.786746924,3.997160755,4.984169876,5.640572516,7.177207699,7.173498704,6.432304072,6.919722224,8.443172246,8.90029638,6.609445074,7.038310958,9.30015899,9.932148406,6.896283757,8.139605952,8.993748133,10.16366265,7.614756989,6.928412826,9.71640697,11.56225888,6.861129532
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,1.859630048,1.649115322,3.642424463,1.493631442,0.83961272,1.579056749,3.112261189,1.933578127,1.02855515,0.980675622,0.908507071,1.630859692,0.841475224,1.775309919,0.993479862,1.042276463,0.582852729,1.036714914,2.468604517,1.652036901,0.72607526,1.406215848,1.195471467,1.760865423
4-HYDROXYBENZOATE,7.279866331,5.792806481,5.36660061,5.504073106,3.124555219,6.845594541,6.383863341,7.929552933,5.125553626,7.588750185,6.719185714,7.078448923,5.169639244,7.309929841,7.165729167,6.796011131,5.084281192,6.884909013,6.802048669,6.774612752,7.665342104,7.320093135,7.184915479,6.711337303
4-IMIDAZOLEACETIC ACID,2.442197877,2.336150892,1.79303841,2.041778328,2.578630866,2.417191324,2.32470512,2.669768561,3.349722211,3.318541635,2.567766863,2.676545196,3.313032494,2.978766714,2.939682298,2.497112881,3.90215983,3.8752833,3.532850508,2.727831218,2.421520137,4.153605278,3.330122355,2.811660455
4-PYRIDOXATE,0.457999849,0.830113798,0.355947311,0.939612389,0.511342435,0.534733667,0.321579049,0.585454435,0.882419293,0.760691433,0.632567433,0.544875961,0.989199464,0.775687558,0.720451794,0.891347466,0.931200484,0.818414576,0.478239641,1.170580235,1.480855766,0.737000074,0.56373815,1.099678323
5-Aminopentanoate,0.977133169,0.75248187,0.632815116,0.662409299,0.915016904,0.852749974,1.988401153,1.11513807,0.926287494,1.08443206,1.923685181,1.744576674,0.707665327,2.53999561,2.349573925,0.871984283,0.740900664,2.068113689,2.793203518,0.778705354,0.876299026,2.573521922,2.74969914,0.776904814
5-OXO-L-PROLINE,0.578202934,3.15477857,1.728422233,2.267745176,3.673374954,5.496137049,2.359170596,5.383525408,4.249772677,7.021455982,6.595724417,3.333282434,2.33046872,5.827525344,6.589047262,3.343239346,2.770444314,4.5237954,4.723879879,4.122168014,2.329072177,8.053058311,6.672055779,2.976178363
"5,6-DIHYDROURACIL",1.179298919,1.883972981,1.134135376,1.386740377,2.130857826,2.023898923,1.715257117,1.871825294,1.986758354,2.300992974,1.873724151,2.034452683,1.762674361,2.204461943,2.101416947,2.063601238,1.969487025,2.220355973,2.363902672,2.318492915,1.474931917,2.412021989,2.033622223,1.646444252
5'-METHYLTHIOADENOSINE,8.75075929,7.619225712,5.64494319,6.516876358,4.711203067,6.796933352,5.991717103,6.059384859,1.735658429,6.781420478,6.299552121,5.078676375,1.58459174,6.500743227,5.882863493,4.338895597,2.970047873,5.260598266,3.996527851,2.470290739,2.665151915,3.215947434,3.901253639,2.318354382
6-CARBOXYHEXANOATE,6.974216709,4.909884416,3.744929341,4.886230743,3.753469871,5.125598738,4.76935038,5.154499488,4.320681488,5.192148757,4.991791905,5.273860653,5.097124162,4.068634347,4.820831359,5.033975644,5.120396735,5.684357323,5.55113823,5.121057519,5.037936883,4.401566777,4.532708,4.360280735
ADENINE,8.533226732,8.48455927,6.369884368,7.273019685,7.68420464,9.006545999,7.375416676,7.373245726,9.20301307,10.56620036,8.975530472,10.17515761,8.392141771,10.72240927,9.180771937,10.44761485,9.641110393,11.61616124,7.967170214,9.955580882,8.275697011,10.06561635,9.584553704,10.27213543
ADENOSINE,2.924589978,3.052669916,2.262418354,2.694809472,2.574108536,2.969745926,2.493437218,3.301551431,2.97930282,2.990612171,2.568383452,4.423594117,3.153293819,3.400397001,2.840511065,3.953378898,3.44712993,3.12453663,3.125262709,4.361480176,3.830988268,3.205979815,3.040274246,3.416137483
ADENOSINE 5'-MONOPHOSPHATE,0.059266301,0.235767887,0.226108376,0.043979199,1.540096044,0.354313701,0.520483703,1.473646675,1.404712233,1.781127344,0.693579163,1.201732325,2.294566746,1.496567552,1.121594539,0.818182972,2.23024729,1.703364401,3.177440942,3.463607619,2.990270539,1.136757792,2.666618884,3.322651378
ADIPIC ACID,10.48174822,6.016984733,6.028903754,6.79035381,6.367052917,7.27509038,6.680947367,7.196682914,6.828393365,6.421957901,6.036284672,7.227009982,6.833408369,6.601273329,5.973348093,6.85941322,7.337252174,6.458252868,6.886291649,7.289188045,6.69348427,6.197647924,6.373425205,7.250620228
ALLANTOIN,4.563497171,3.434869391,2.972088727,2.897613515,3.600501546,5.779834548,4.829103395,6.933559049,4.054630357,6.715775747,6.056511867,7.118081515,4.647751268,5.501748322,5.652820535,6.271293201,4.82398581,5.308997635,6.722021076,7.184984691,4.131867989,6.634329953,6.600763623,7.723619569
ALPHA-AMINOADIPATE,5.04085042,6.494276331,5.335692363,4.85336113,4.958800934,4.950743582,5.629007061,3.266770472,6.906060596,4.208771803,5.526892511,4.390827264,4.948059254,4.487484644,4.962973983,5.058963684,4.267684053,2.536281792,4.828397247,5.596339615,3.367318106,4.182119715,6.034723551,4.823895524
ALPHA-KETOGLUTARIC ACID,1.279414841,1.799206312,0.330562091,1.08249658,1.573894466,2.698490905,1.487050879,1.554295361,0.524678494,2.703168261,1.547247986,2.782489988,0.872970068,2.62190308,1.323553768,2.045724731,1.011016193,1.608206809,1.473935062,0.962784513,1.062661308,2.370762134,1.154619306,2.527960085
AZELAIC ACID,10.69151798,6.883733916,6.507621322,6.297162852,5.214732864,8.462282585,6.969646035,7.933109336,7.061986375,7.951570258,6.691382053,6.805116741,4.378090521,8.361762117,6.874879831,7.165021484,5.093221293,7.971016954,7.254338748,6.418514663,4.592824211,7.794014415,9.234345188,6.536488021
BENZOATE,19.96326436,11.3377805,18.70567209,12.1427617,16.30589206,11.25309898,19.58263045,15.652648,18.32836117,15.74986671,22.71260596,14.87312972,15.85255862,12.58280724,20.93921647,15.8808133,17.92206659,11.29800702,19.41846362,16.96636814,13.9418911,13.13670574,20.29239648,11.92975585
BUTANAL,14.76049144,9.850697514,14.31661828,17.10562571,12.56586085,30.21191478,13.58167348,13.57569898,14.49451281,10.58102439,15.91174365,33.04453491,14.6470838,10.17795213,15.6450201,32.4247325,14.62234891,30.87398812,15.11369536,36.32339986,13.0546006,11.46826861,13.36024355,35.9453371
CHOLINE,6.238166044,4.243802466,3.601100368,3.615583676,3.946160602,4.035540765,3.584447149,3.383864249,3.137790434,2.842665442,3.457442774,4.517994888,3.373483728,5.300109846,3.679132713,4.885390924,3.320223245,2.840494153,3.169293798,5.095087341,3.202028829,2.961700075,3.691945898,3.736061244
Choline O-Sulfate,0.425493379,0.374807225,0.250602291,2.688872833,1.125901801,0.326836544,0.322343987,3.85650331,0.34519958,0.289940745,0.317431763,3.689281848,0.286070123,0.366859216,0.31983377,3.976802046,0.284237493,0.280693738,0.29842203,3.082984721,0.473828655,0.329590166,0.3355555,3.124380529
CITRULLINE,2.226988044,1.692060633,1.79237184,1.346581301,2.632965721,2.712570613,2.209065783,1.962113104,2.447854505,2.261729852,2.069099167,2.117828663,2.354606411,3.114694463,2.134712095,2.662855338,2.068974668,2.973873647,3.153308236,2.875982022,2.693054377,3.231836925,2.757501631,2.718070886
CREATINE,2.028235433,1.82497464,1.649632758,1.517918748,1.602838446,1.787868195,1.46291993,1.943525652,1.757126277,1.931949448,1.546636825,1.410824688,1.533888558,1.830679459,1.507072472,1.408384797,1.474537496,1.851553043,1.559247101,1.569070058,1.37461961,1.840928446,1.67000322,1.358353226
CREATININE,2.700122608,1.657968766,1.731144845,2.002186217,2.318896155,1.803270873,2.941879792,2.516719348,2.766994507,2.045006873,3.211750811,2.139153001,2.799543277,2.035872019,3.970385279,2.385120245,3.149812812,2.133890505,4.354977815,3.021809949,2.240030411,2.422982519,5.142020449,2.70791507
CYTIDINE,0.111323788,0.479246888,0.619084064,0.589451763,0.651043895,0.080046215,0.557108223,0.537060019,1.476734622,0.556173071,0.529902117,2.649262189,2.155681779,0.455622459,0.571104855,1.742294609,2.46522665,0.572816729,0.627011639,1.82854843,2.259334281,0.885921672,0.075031271,2.584494139
CYTOSINE,9.986135625,10.80742301,7.079596983,6.596035642,9.750309425,12.63454392,14.22159546,12.97101072,12.11185368,13.64624384,14.32353301,12.90947782,13.20683936,15.21790828,17.50625655,13.79538863,14.1598457,12.52583404,16.50047732,17.47604121,12.57015664,15.93271501,18.86386374,15.50729158
D-GLUCONATE,10.8916642,18.77204445,15.75727377,6.148182618,12.4978742,18.62238766,17.52128699,23.52880459,12.70158617,19.66929257,16.93485209,11.26935887,16.63285852,20.55733201,15.26080118,12.49619119,12.48013024,46.05994417,18.93186658,9.607792182,37.12287054,24.7413746,18.00425692,13.81753048
"D-GLUCONO-1,5-LACTONE",0.419233861,0.410163898,0.741995842,1.045058727,1.085234936,0.229718259,0.288027327,0.325502005,1.511654903,0.035123476,0.254594209,1.558840599,1.413966563,0.247622873,0.269182134,1.706864983,1.665329222,0.915986061,0.277294744,1.974918855,1.923182052,0.036681237,0.383565694,1.674053758
D-GLYCERIC ACID,8.464020445,7.835734885,5.440216962,5.750401458,7.335279463,8.514726746,8.008458988,9.46406789,8.914008954,9.432451308,8.05139688,8.843475201,7.727351778,10.53417649,8.472344629,8.530784911,8.534631722,9.432484483,9.715559587,8.573954777,6.861196972,12.13319291,9.631522821,9.448828337
D-PANTOTHENIC ACID,1.002473486,5.378703389,5.0149123,1.442853504,1.959007417,2.159744244,3.448404792,2.269648875,2.429410702,6.091563008,3.105759198,3.141936394,5.411357949,2.977466478,9.426073896,4.304863316,5.698673654,8.616212678,3.939497805,3.870252705,7.303756036,10.08925508,5.066852069,4.325688326
DEOXYCYTIDINE,5.380246091,4.726777066,3.80049114,3.082645778,5.266846128,5.21281802,6.541447672,7.477035913,6.379633851,6.791965228,7.021297509,5.93750607,5.682443168,6.608122227,7.418404522,5.901879621,6.090816683,6.631430978,8.503018295,6.920363338,5.445168128,7.507129036,8.607862145,6.621165857
DEOXYURIDINE,8.878567272,6.940444146,6.240415074,5.14460924,8.287088377,9.799133292,9.468681733,10.98873468,10.02609817,11.36705363,10.49658162,8.958641393,9.552547062,10.86145897,10.80663525,9.261871873,10.32458972,10.83896228,12.67141816,9.634062348,9.239014604,11.41603944,14.08883502,10.47601832
DETHIOBIOTIN,7.22046246,6.762918021,6.430887262,7.647181329,7.798056707,9.370370662,8.539586317,10.83127209,9.776306669,9.340573565,9.845788061,10.04005123,8.752115124,10.68933882,10.14208009,11.49484969,9.877929946,9.630561239,9.922638922,12.5873185,9.289482011,10.03402734,11.17329954,10.74153583
DIACETYL,5.572553205,6.65318739,5.633829851,4.5419952,6.192793614,7.820447861,7.778806294,9.465855291,6.852070877,9.633432048,8.701830549,7.448510036,6.638410024,9.440314371,8.530524221,7.822861925,7.045970543,9.98909326,11.29093454,8.995236791,6.751680749,10.21111281,10.28649751,7.773522721
DIETHANOLAMINE,5.375300891,6.074261259,4.484879717,7.603844074,4.988578335,6.785671251,4.594121175,6.314601842,5.607832308,7.938033141,5.556802564,7.040180555,5.675549998,7.561883365,5.216060593,6.780676838,6.518240657,7.367773686,5.570785423,9.011178871,5.419282114,8.148568978,5.539728171,10.67265318
Ectoine,2.40139728,2.814197345,2.07518873,2.188917082,1.964100543,2.309013994,2.109488695,2.346705817,2.216447072,2.673243946,2.531472998,2.567838133,2.167420478,3.354058813,2.545125664,2.390661314,2.342077755,2.346147088,2.46378796,2.839806863,2.597568826,2.727638792,2.68120766,2.485097872
ERYTHRITOL,5.117532841,5.124972864,3.883957084,3.381675246,6.009958639,7.284781688,7.515456421,9.335905811,7.546209306,8.469432287,8.466903127,8.269995376,7.504261973,8.445692852,9.312984663,8.13081502,7.852403378,9.04465262,10.79117454,9.15780793,6.668271227,10.34498965,11.51800217,9.280174188
FUMARATE,4.74287646,3.641782964,3.115713997,2.088624429,4.307818983,4.930480446,4.580562053,5.096417703,4.373802129,5.170645154,4.657888335,5.149625483,4.89592871,5.188516031,4.850386406,4.746641003,5.073266811,5.965891111,5.840359066,5.678102922,5.593557408,7.0815794,4.824007314,6.68768204
GUANIDINOACETATE,0.717320103,0.792595168,0.536899475,0.507212889,0.689820174,0.58474464,0.3359405,0.921583888,0.585887191,0.91602848,0.21132997,0.6033236,0.620460325,0.67690026,0.318129778,0.437022524,0.532957848,0.840524851,0.494002553,0.538783867,0.450966756,0.583559479,0.037393677,0.477782749
GUANINE,3.167672977,2.575579773,2.437572908,2.375250622,2.63718691,2.87822112,3.117417167,3.781926467,3.187852823,2.980218926,3.120382949,3.141268497,2.649065183,3.561375743,3.308890995,3.418568426,3.350492825,3.621744292,3.343310554,4.304069574,2.92303281,3.315523307,3.360325052,3.080353632
GUANOSINE,0.980548894,1.164154282,1.116231017,0.953589139,1.172014423,0.821102523,0.806581097,0.842002732,1.200805507,1.08957333,1.066760052,1.226709649,1.158360666,0.888043908,1.308747775,0.971145178,1.132823389,0.370765791,0.407890768,1.074278209,1.274256261,0.88788592,0.874581506,0.673719408
"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",0.059266301,0.238840959,0.03342486,0.043979199,0.039910383,0.303673583,0.036618298,0.244115767,0.03913432,0.387986449,0.034364492,0.365927966,0.355690686,0.45606779,0.036225016,0.045755603,0.039033558,0.307160986,0.034871772,0.04894287,0.037592076,0.353042311,0.382699278,0.34342323
HEXANOATE,5.970177097,7.042776309,7.138141628,3.964340058,5.687278972,4.53251018,7.658816582,7.7129457,5.481325024,4.26483193,6.877225751,4.903832085,5.259307244,6.218995455,6.776028499,4.672280067,5.206608861,6.047160802,7.621966634,6.531344783,4.741610661,6.548027901,7.231645692,4.497168513
HIPPURATE,1.61556345,0.948667522,0.665229031,0.841029784,0.61051677,0.668945578,0.881967838,1.01273461,0.710668257,1.026081611,1.520868202,0.94865782,1.113823204,1.129289176,1.236086333,1.069820357,0.729669732,1.171418752,2.010851313,1.465473746,2.032921047,1.187577363,0.900076326,1.518660063
HOMOSERINE,1.024489014,0.887261617,0.682428979,1.003784518,3.499975959,2.027413403,1.904697583,2.015241242,3.456789591,2.615530316,2.227876712,4.133544678,3.180231149,3.123428308,2.58899373,3.47020182,3.520052004,2.456934029,1.653562902,3.419848073,2.383835911,3.298175421,3.455741283,3.823578685
HYDROXYPYRUVATE,4.411678105,2.913612442,3.026701583,4.100262663,3.260153428,2.797998393,3.089808218,3.646608542,3.592240154,3.462235687,3.280664413,4.234669506,3.996350126,2.91876166,3.359047412,3.663072442,3.773842458,3.366575238,3.548834483,3.971768402,5.190178421,3.373296561,3.523737434,4.214765284
HYPOXANTHINE,5.3817575,8.058629882,6.283923258,7.551888562,4.510066191,11.54445978,4.935416905,11.39956622,5.653494013,13.26993674,10.72301416,5.214709384,4.79211707,13.80127165,11.36342097,12.54884756,12.13130346,13.80616685,5.06612606,13.18161959,4.122421451,13.56583854,12.54714577,4.956576094
INDOLE-3-ACETAMIDE,2.924534883,1.428595085,1.558621724,1.292149236,2.336211921,2.654609019,1.863180228,1.704229607,2.731875967,3.51637786,2.216978177,2.2820607,2.814264578,4.322046993,2.312983091,3.414735269,3.53645379,1.502757356,2.105158674,4.216923185,2.273867551,3.437945173,3.096944675,3.607545525
INDOLE-3-PYRUVIC ACID,6.204279904,5.247967953,3.708062003,4.347091058,3.294224989,4.770993402,4.575871263,4.49109564,3.479277887,4.975199344,4.641188949,4.864488171,3.1464383,4.868240087,4.482337057,4.319076391,3.28476748,4.619421051,5.120643968,5.182298226,3.280980221,5.389792976,5.553999789,4.625653795
INOSINE,0.723778165,0.038689081,0.322628781,0.46661363,1.03661193,0.511703217,0.493415456,0.679528113,1.572296195,0.427001465,0.455196511,0.539132504,1.465028609,0.47556293,0.756641319,0.639874624,1.067722166,0.343512332,0.493434469,0.362517254,1.368072178,0.619653565,0.665255729,0.557256808
L-ARGININE,1.714338147,2.130036789,1.534422036,1.415144484,3.867938932,2.347489713,2.320851158,2.629625721,2.908194992,3.233618339,2.251356751,2.655484081,3.347588637,3.812295141,2.762553745,1.519897172,4.456347386,3.470761599,3.383638334,3.009941395,3.049310252,3.647585568,3.211980929,3.031156529
L-ASPARTATE,3.037117273,1.234933546,1.848097311,0.635571749,2.270829336,2.336932442,1.66044974,0.780723392,1.891410706,1.452189686,1.100447108,2.295367729,0.710202837,1.840743771,0.737126411,0.767151559,1.404238896,2.502929923,2.167999915,1.088468942,1.007748782,2.71732385,2.386286941,2.855248441
L-CARNITINE,1.847413587,1.956120108,1.718625446,3.017602534,1.857284303,2.037508671,1.846883158,3.950957463,1.590037362,2.027977926,2.451192245,4.455948901,1.743561597,2.466732618,2.138441437,4.339380473,1.841600416,1.873905165,1.96462725,4.131577642,1.682563171,2.049729717,2.086049653,3.207998805
L-GLUTAMIC ACID,3.331270924,1.483402314,1.973119047,1.999616216,3.109021757,3.89358338,3.83125525,3.778144319,1.990103289,4.668751275,5.20002922,5.130839003,2.172979935,9.360003059,4.517279933,4.942556108,1.873491993,8.66363189,5.191882152,9.931835516,14.22627639,4.926204419,5.39807859,7.578641365
L-GLUTAMINE,2.1578516,1.286399961,1.016636004,0.892734317,3.066115966,1.360450565,1.362055179,1.455617771,3.258835355,3.044627986,1.698326607,3.437151624,3.122003257,1.930158042,2.590637585,2.180940859,3.396203606,2.756629675,2.511596167,2.116876284,2.677703225,3.055916064,2.170085069,2.328626626
L-HISTIDINOL,2.161041821,1.040421952,1.314345913,2.277315841,7.206839336,1.287091341,3.973754834,4.72903345,8.263186377,1.088817068,3.304826917,3.148018606,8.607368904,1.000846952,3.215577977,2.471582304,8.015088788,1.247005898,3.104169723,10.78093271,7.465659968,1.213285624,3.319832885,6.532392105
L-HOMOCYSTEINE THIOLACTONE,1.100308694,2.15507053,1.429912876,1.462254286,1.464549772,2.206460019,1.776426867,2.177750091,1.569457132,2.805358458,1.862761189,2.573807417,1.494468769,2.954005025,2.283438006,2.922548191,1.783869228,3.222832455,2.437205012,3.221024337,1.285906685,3.133355622,2.186999633,2.38942231
L-ISOLEUCINE,3.897830698,3.028355197,2.899137267,1.79538065,2.609001553,3.697223192,5.096528663,6.196700132,3.053711865,3.985135294,5.834938084,3.561687244,2.530122656,4.798928622,4.96916304,3.363686593,2.889261481,3.974380673,5.088249094,5.552320445,3.069101211,3.647701228,5.142799793,3.812129122
L-LYSINE,3.411762994,1.846764951,2.272167183,1.761704624,3.270160704,2.186631242,2.172484085,0.787127386,2.639689986,1.89261429,2.178513787,1.676960263,1.496555489,3.283235719,3.618555611,2.065811899,3.29994072,2.180364322,2.091175888,1.825010438,1.864381322,1.86416586,2.129468801,3.120453317
L-ORNITHINE,2.965257043,1.539951844,1.525718701,3.989065295,2.652185783,1.431545882,1.752249139,1.287764018,1.821272665,1.779640387,1.321350808,2.736349047,2.456866742,1.24003738,1.345765447,2.755049743,2.335806709,1.283890905,1.426792496,2.616850559,2.793566159,1.553123782,1.415447321,3.217586342
L-PHENYLALANINE,5.406654867,3.386955904,3.488455952,2.878175594,4.438720372,2.119155129,1.984360496,2.344101042,5.802071964,2.313707332,2.601586018,4.237654326,4.438220626,2.94680342,3.017200584,4.554300928,2.957755834,3.52539776,2.332396233,5.817017556,3.887181788,2.710582029,3.14911457,5.552127976
L-SERINE,1.00656511,0.450452082,0.350024405,0.517941873,1.075063188,0.441708018,0.452152186,0.603948746,0.531415233,0.716031206,0.546017772,1.365438612,0.468847005,0.895072143,0.523779618,0.515413314,0.73736085,0.542595012,0.926789297,1.052198777,0.642669814,0.57814989,0.422321328,1.369225275
L-TRYPTOPHAN,1.327449404,1.725813115,1.634062062,1.421033657,1.938798497,1.823322943,1.661284531,1.520428792,2.15554961,2.06069012,2.510190658,2.083766146,2.242789122,2.279248,3.169011238,2.613914931,2.847633049,2.56993101,1.92692034,3.059750171,2.13208154,3.048131509,2.863948967,3.088369699
L-TYROSINE,1.333512858,3.094549416,1.746925127,1.877264719,2.524340724,3.337071294,3.055183246,4.876458222,3.261579789,4.61750194,5.351410804,4.503250541,2.166632788,3.940109985,5.538516312,3.021732707,3.188407144,2.941433166,3.757603059,4.261384279,2.228720095,5.453028926,3.616097666,3.949479672
LUMICHROME,0.665434764,1.202645039,1.122819174,1.359638744,0.920565328,1.551523022,1.479833259,1.652947592,1.10406381,1.350437501,1.051888694,1.898824111,1.039160952,1.682727576,1.384986729,2.096240566,1.04302352,1.61710832,1.759233567,0.732423423,0.994173126,1.509144425,1.633948207,1.712485521
MALEIC ACID,8.766932185,12.28685148,9.371221879,9.192819867,7.585483045,9.932600007,9.431938174,12.80634726,8.002868411,11.3803642,10.20300756,10.16855074,8.763148806,10.53963951,9.848491407,9.665676455,7.954037596,3.615345629,10.91940206,9.741732997,7.222532016,2.961905453,10.72057642,10.05944774
malic acid,1.82119877,3.355401368,1.99235839,1.017252236,1.462823061,4.942482369,2.621263687,2.839916869,1.504129388,5.453459365,3.930062084,2.384860443,1.747646104,4.252150055,3.951409004,1.366255509,2.886456574,4.334070933,3.007616863,1.498879693,1.964909134,5.485037815,3.898847273,2.276394105
