Sample,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4
ADENOSINE 5'-MONOPHOSPHATE,1.399397631,0.460302536,0.07838773,0.062997543,0.728075417,0.07752497,0.073945691,0.583804153,0.539820322,0.072221011,0.708168068,0.077394316,0.06404587,0.081767308,0.08056122,0.084770793,0.071588954,0.078763119,0.772827892,0.735121393,0.658012275,0.07102426,0.715833317,0.069614978
ADIPIC ACID,9.604952353,6.318664156,7.139834309,6.370595636,6.712842115,6.849722054,6.146227557,5.51213766,6.124677802,6.240228587,6.357322603,7.005365175,6.154106804,7.065773449,6.662013749,7.565341521,6.10290221,6.888832472,6.473324487,7.714351805,6.135844041,7.33182313,7.341339115,7.151083252
ALLANTOIN,1.0429735,0.680239896,0.743847246,0.729247224,0.697586432,1.363002677,1.21611261,1.012798217,0.689751052,1.720043887,1.342725227,2.125875482,1.211770798,1.910721326,1.217028102,1.102296184,0.99565631,1.900378217,2.335821297,2.494461905,0.994345887,1.699896165,1.725064576,1.60081678
ALPHA-AMINOADIPATE,7.176510527,4.767074796,6.170667529,5.591109164,6.810370971,7.62085934,8.775823051,8.03258444,6.247890588,8.239627116,9.301166477,7.842452499,4.883242629,8.222812012,5.77349991,7.577429555,3.320588584,7.610751259,3.352861193,7.429761562,2.950564163,3.264962715,4.132096674,6.16265835
ALPHA-KETOGLUTARIC ACID,7.21471357,9.992059953,9.499177361,5.550727015,12.21953134,15.07591277,12.78737286,7.606693703,9.924212044,12.70506805,14.40755087,16.02870272,8.766453314,17.44102688,12.86767529,7.436601868,10.13314784,15.34298273,12.03403732,13.68596777,9.963640415,14.03060719,15.82788509,6.711979407
AZELAIC ACID,8.950510493,6.681720166,8.360600876,5.687418341,5.843807212,7.638669152,7.017609301,5.912357185,3.812555597,6.863018779,7.075963102,7.857976067,4.495411251,7.080846792,7.220278343,7.034941274,4.918701447,7.152791051,7.175513553,9.329062721,4.794471419,8.537182203,7.971237853,7.196912137
BENZOATE,19.97356703,10.02958381,13.23436186,13.54382925,18.5614302,16.34609084,27.29926479,18.94293504,19.6331402,14.28659418,26.65761469,22.29982883,16.87931179,13.72757886,29.63720613,22.793417,16.03179117,18.23997702,24.81459627,24.32545264,14.00461878,22.94130657,30.41702985,21.15519419
BUTANAL,13.00556352,10.25196317,19.40027265,9.995214696,12.73357882,13.16218357,14.25052822,12.69462927,13.47061177,12.72356859,14.83526729,20.3309996,13.15292053,12.46527255,14.83738685,12.82388684,15.16596129,12.75463468,12.58755019,17.41606303,13.75479607,13.10611197,14.95179955,13.18089722
CHOLINE,4.758171752,4.732873467,4.36218916,4.587964057,4.131512002,5.291687551,5.144351715,6.268241638,5.67058292,5.473300185,4.963886111,6.300248306,5.082010275,5.888536949,4.701294669,6.035028275,4.732750896,6.088839558,5.278646058,6.053647145,4.161250711,4.806726016,4.720500223,7.441054558
Choline O-Sulfate,0.535189777,0.245489043,0.260827498,0.692922981,0.594255329,1.258482326,0.980966385,0.548432643,0.284067899,0.331278177,0.952730019,1.743098183,0.375273984,0.937495099,0.837197477,0.986479845,0.440665849,0.547470931,0.884826096,2.83920972,0.48932369,0.265039891,0.719125205,4.028086635
