Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Bt_45hr-pseudoS,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
DIETHANOLAMINE,11048253.24,31083057.53,18585646.2,32474187.34,11360499.77,56962079.08,25166039.93,31523874.2,14679792.86,23802598.69,23330438.55,40863309.85,7861883.975,25110779.04,54589066.55,15720849.56,22231624.25,38581652.33,39178125.39,48204529.88,13022355.99,30511764.05,30648793.45,24727637.83,2228734.768,23231491.65,16556966.54,14723550.84,8343315.808,19219134.1,34368870.35,21301484.95,20831568.41,25723584.55,19690195.66,105948243.4,30279493.16,27276572.3,18060657.09,19787697.61,15788776.6,20035555.93,15429402.09,66863554.05,10580766.12,41325162.43,15719971.62,362633054.8,4662994.403,24187733.68,15098146.82,32302614.34,12205419.47,32487819.3,12342208.77,38837956.44,18390421.91,72148330.04,26425616.78,36200121.56,20485909.24,40110658.98,18658732.87,20340719.53,29104273.35,47081400,25480460.6,39008257.14,18724765.25,68516018.98,20321271.08,110919440.8
UROCANATE,3137607.263,5490896.976,3165079.541,8934170.721,65938703.4,4477684.682,7201244.391,5219766.874,3790881.542,5046846.007,4211953.087,5332323.42,1844129.799,3716927.922,5523870.748,3180207.654,10482079.7,5660474.062,7636048.712,6096791.559,3383429.58,3187823.413,7484997.362,4685416.785,2618246.36,12683718.36,11749954.07,10492716.79,5825487.979,29663506.87,51272500.4,11160649.67,9836637.84,22691320.04,33949475.97,20705333.41,8663571,25104593.24,20165448.88,5648748.953,8749400.29,32034923.37,28844195.11,17337301.59,9684526.569,68243519.22,32924518.28,21091188.07,3668136.903,11789877.99,8088058.514,9687085.088,2488659.298,15528900.58,11339293.05,11840149.99,9880307.453,24328573.3,23463182.83,14037311.14,5761096.974,15974938.75,18298626.92,1516462.24,8613003.849,18948824.18,22277315.5,11562535.83,6936580.827,28305028.28,30836108.86,15021935.52
NALPHA-ACETYL-L-LYSINE,586057.5186,1232844.246,2190872.938,2639601.761,1684566.203,3739160.067,3804039.829,529647.8556,651386.5293,2030566.603,5023061.872,2979970.825,4955668.448,1553292.716,3227709.136,2600389.239,3066748.627,3742892.641,4615630.741,2664388.517,1033975.304,1614341.382,3262406.327,1970241.004,3725236.715,7288849.467,5662378.503,3978288.542,7759857.042,23665493.56,19167937.38,15666042.48,15931140.31,22903500.62,36374473.61,54805226.39,20530206.35,32423025.69,32235460.22,8190783.369,21315646.7,29710325.2,38327928.72,52350676.64,14282912.72,33813217.03,31841153.77,13722071.68,2287898.947,4727129.896,6238500.016,3798016.805,14541004.74,18529879.15,992302.8323,2485116.086,29873794.87,1505043.482,24253228.68,18620930.95,30753217.95,1002339.138,10999695.46,16428547.15,34753928.99,32344435.2,2501848.964,1230458.429,32460159.8,1783181.108,1664858.239,1689508.505
ALPHA-AMINOADIPATE,11684635.51,17906986.18,28818473.13,34297926,28559422.01,13475812.05,25351752.97,43564381.45,10990361.38,10838114.83,19329896.43,14749807.4,5675483.357,12343545.66,19389848.13,7465141.73,26349526.87,11053121.28,60065580.17,46712325.38,1044356.564,12610435.35,8119036.317,7257942.744,8714112.784,12798105.93,14064884.06,10291259.45,15015389.05,27970872.82,51666681.45,51701185.05,14450357.61,20403354.9,40249615.45,50128945.53,34299578.84,24672598.34,10474736.12,6795085.773,11250276.73,10582742.47,1419083.895,29751866.67,2095106.471,5148122.869,2163831.078,50614403.52,3845634.34,29560179.56,25423983.02,8399740.852,11988154.85,12616921.89,22702878.8,5377424.463,34347710.34,10753595.53,26001193.81,8782086.159,13574881.83,8382601.101,16072382.5,8447571.123,8168501.038,1920582.859,16590786.08,9343807.897,4492039.214,9262697.129,26269853.12,10241985.6
PIPECOLATE,212132.637,5109900.147,4166728.007,7612282.347,5780312.865,12136725.67,9716217.574,8149077.532,6366169.068,10661471.23,14673328.24,5549864.243,3296080.37,9410802.187,34248002.39,6244151.067,18360377.28,26972856.71,969467.2111,22896498.6,8727380.613,16893342.39,44697911.11,23439544.7,387626.603,6442088.279,5682024.752,2657531.225,3741770.151,11082812.3,20247277.4,10536335.52,3127532.508,9028138.045,5328416.387,28384548.21,3442419.991,17208589.21,3413642.852,1495612.67,2695676.769,16409710.61,2214548.75,22609633.22,1831039.775,17238745.2,6823117.865,4185471.074,367595.2916,1760446.949,97789.56085,942589.7081,2081478.272,12244254.57,5128228.611,25606429.4,3565015.955,39936104.25,33809470.27,17154242.82,3316626.312,31010917.55,30718981.89,9623625.614,1820126.662,2395342.656,8567527.582,20151365.87,6498718.828,58573117.1,30106421.28,10577874.85
ADENOSINE,271788.5432,1359773.526,237968.3475,304812.7627,433639.8943,1440748.742,885095.3554,356422.5323,745524.8516,2035681.896,927121.7625,2115276.317,564897.0889,2531827.417,883722.8591,1313420.312,788510.866,3906676.281,2203566.124,1118861.614,229861.3688,2227018.688,2983661.403,1813513.82,1123222.786,4955252.195,3921157.352,2371166.802,3295952.384,28957942.07,28083229.69,16701308.56,7803757.147,45896848.32,54051345.19,44018874.07,12655386.04,62760477.32,53433970.45,8555270.163,9152196.587,26996.74269,168588448,35040145.24,3878471.484,71538825.79,45603792.36,19020568.12,751020.0259,3070112.686,1938161.627,1437878.733,1676883.476,2723328.309,1973244.328,5551018.258,2757722.617,3858049.979,2609334.9,8980167.809,3513376.573,3647193.01,3013309.355,4031368.433,4304656.959,3590851.109,4499016.363,4422964.196,6614904.341,4172827.515,3359106.604,3637445.568
ADENINE,56832307.03,176213371.6,104786925.9,125836192.8,121268340.8,416397581.4,212060237.4,203953970.4,147889058.5,422659813.5,272766301.3,287575268.5,79903948.18,480396814.4,402487406.3,121469225.7,328254761.2,866259789.5,473826409.5,363736693,155564358.6,427467102.3,476252769.4,353094743.4,1557020.99,5817218.935,4262767.014,4043521.478,12010573.02,40466555.67,37250821.28,31381529.13,61557868.42,66281805.86,58985582.38,241613149.4,117624445.3,165647135.3,120526193.4,53205452.08,109206515.3,234181556.6,936119703.2,449223549.3,96362011.19,452039682.1,274822620.4,527106345.1,18655049.73,65917790.17,43257945.65,28267171.5,44608650.73,75965592.45,51067574.74,61829335.33,81282444.13,170154753.2,111360356,109290414.2,66229247.16,114352855.6,101740029.9,74404402.55,94177412.74,184513620.8,74536718.67,52603123.22,66681421.25,129142503.8,105244931.6,98894625.79
N6-(DELTA2-ISOPENTENYL)-ADENINE,663922.3342,637944.7037,701676.334,998561.0813,384168.3729,994886.8271,883271.5394,1168173.29,1204847.763,1130495.003,936439.3617,3478052.096,856764.4882,1398112.242,1608226.119,1387989.429,2526156.855,1375843.389,1986520.764,4591284.435,1313591.801,1349721.772,7710732.068,3458015.214,640913.0282,1766455.163,1639977.933,1270617.534,1181212.875,6442841.32,6468890.347,3221465.069,2369957.57,7889513.872,7249695.66,11819712.01,3991871.722,11130639.24,8646502.978,2497430.006,4126255.525,13596989.31,13541714.26,16195896.03,3613227.145,19045229.78,14549721.21,14258256.07,315016.6402,895182.7946,1024918.361,566827.4192,1609316.231,2845199.944,2929673.223,5074584.649,3696329.104,6409219.332,6937378.434,4573826.972,2864322.453,5613641.039,8441382.478,4763863.951,4396195.691,7659569.243,9003335.32,4792758.711,4982102.823,9707415.399,12886883.64,7828838.69
3-AMINOISOBUTANOATE,7126643.491,7276788.133,7374571.205,10326634.68,11478213.02,22462912.76,17501330.51,10722115.48,12923513.1,13122763.08,23030580.83,12052726.27,9831143.091,8847003.962,19620692.49,10131558.25,12430372.07,22679980.55,29431293.67,14866752.68,10321489.46,8009193.557,17481471.01,11937384.68,5505071.341,4675282.142,5433850.037,5961680.067,6046821.069,4119493.184,3781093.785,4950683.872,4810626.101,3040375.038,4974189.5,4332187.327,6930555.441,3540340.132,5437418.891,5355141.944,6757723.38,2934080.803,3999834.772,5025094.97,6300883.048,10211544.09,5778738.41,6545134.693,6278783.519,3677120.639,6707950.459,4959515.276,6912046.391,4239495.044,5156703.302,5333125.371,6550734.723,6386647.518,5050254.811,7552776.916,8452499.946,3578670.354,4729654.891,4947425.796,6159553.942,4150318.227,6304091.156,4492973.564,7130086.259,4705544.685,4436217.858,6956626.055
N-ACETYL-DL-GLUTAMIC ACID,145480.5435,798381.7726,1364874.059,1306136.625,296440.2648,1478552.897,2908897.746,321300.572,403339.2389,953336.1588,3407903.268,701518.7636,282136.6907,901899.4611,1717016.93,261595.8454,594492.2377,1986884.683,6726325.672,904830.2076,368193.3359,1210452.562,1772304.668,1116983.522,211694.7316,1864139.33,1117140.615,399323.1072,1193584.184,5959770.64,3549498.731,1749636.985,1750458.103,5331164.123,11376515.13,8821857.184,2574191.004,6803118.459,8292698.397,638914.3142,2733122.148,5454208.253,9768323.155,5134841.548,2167186.838,8603470.98,12168436.99,3454553.678,51178.15815,781287.7932,531792.4351,16042.73475,483789.3158,1067311.741,2772584.107,1588895.916,739989.0756,2158750.588,2377171.622,1234837.52,556147.2492,1595146.444,2520308.938,447575.5704,816734.5067,2338606.864,9904799.193,628715.6253,751471.8939,3468486.901,3120115.272,1125137.636
Ectoine,6202820.092,29737590.52,18870195.35,26550239.5,18214407.76,76843967.96,46571723.96,9373119.647,21855188.07,53057943.63,45341296.75,14925642.61,10547069.38,46388789.22,58815563.27,5426151.421,31755855.53,81579225.32,76588287.05,15298933.62,14560155.73,40893947.86,52286745.09,35913616.23,155950.4371,2177068.759,1377656.206,1009533.574,167593.1145,2373552.652,2070894.267,879013.3556,550668.0063,2016588.047,1817820.622,2612641.164,912670.3103,2363649.729,1510297.802,440965.6694,725004.7118,2161675.278,1575606.016,2137348.497,671429.2183,4166346.463,1799073.107,1729163.396,415765.6432,2405350.799,1495698.454,770594.662,744926.5758,1280034.897,1194860.37,1993399.771,1135478.022,2755518.53,2498446.944,1756554.256,1140934.991,3500111.62,2167614.036,891458.9151,1350111.125,1520219.311,2204286.132,1220894.476,2062017.244,2569855.222,2303970.209,1400299.628
DETHIOBIOTIN,305248.6739,294301.4091,916233.3691,924244.7811,561698.0985,544187.9968,715632.9556,601580.1207,225960.6947,445685.4899,789197.9597,696393.8355,71784.36884,759963.9409,857053.2483,265373.2783,115033.4823,806831.5239,1142225.476,539034.2636,113190.7014,531289.9032,246921.3836,297133.9961,1085093.867,2656548.029,3616179.608,2600737.373,2069818.051,11665151.46,22111212.06,16154548.34,5277917.38,14485961.91,27658438.26,45093840.8,7251379.989,25828082.53,22576504.95,7622957.138,7525879.917,29896607.58,43676726.77,53841439.56,7691526.282,30157594.12,47637183.11,28112118.73,11301903.6,33382368.37,44512699.49,32858083.54,46620989.62,85548505.41,79267661.91,196000352,97438611.5,117546092.2,146994702.1,104994469.3,75122571.81,113298041.6,137162493.4,99096213.65,101289263.6,105146622.8,143992392.1,106319121.6,94311704.98,127930448.4,166736173.1,113080996.1
2-HYDROXYPYRIDINE,874109.0163,1003578.883,752625.0219,842469.6383,949190.6113,1674209.938,1087060.104,1359288.769,736990.6312,1471761.19,1323715.54,1670056.583,591869.6797,1656561.193,2029615.288,921026.4916,1054188.854,2092317.579,2661737.697,3009466.78,461134.0631,1385695.774,2682026.636,1509618.824,459170.2305,854240.8182,834295.5026,893834.39,693139.954,1259942.068,1573446.674,959469.2922,839390.0386,1182115.778,1297832.38,2139951.357,800690.535,1346782.573,1534716.219,486521.4158,691077.9657,1360226.869,838063.3347,2141396.017,551507.033,1353920.262,1319487.25,1983534.862,588450.6474,1177780.477,943459.1629,1028453.412,991467.5355,491178.8205,880456.753,1064509.822,1515427.654,931517.2255,1802592.292,1074767.523,983686.5447,656650.6117,1930628.309,905186.9442,1275391.15,756656.4313,2221086.535,641534.5309,694322.7266,1178731.433,2526633.131,1112545.648
THYMINE,456372.5148,1157989.815,1607854.651,973860.3664,549097.7261,902884.1102,1534578.147,1038771.724,622409.0627,879940.7676,1669284.385,1333513.956,508063.6046,1031511.951,1200502.859,504955.5745,2308446.942,1437118.492,3147442.021,1693833.582,1107209.207,1986517.463,1626924.824,1573550.498,377913.4698,2099648.664,751225.8503,279519.5112,1711499.971,915652.3104,531568.9895,389372.1152,451683.5458,520306.44,4727763.795,802191.0948,619821.1249,3540765.046,5171001.552,1645937.245,3284157.378,4627175.031,1833900.342,753884.1951,731838.0819,851665.9383,955837.2564,1144685.4,12035984.36,23027367.9,25462488.52,9748688.548,24224856.49,29207928.64,64713977.05,37998005.77,32262772.6,38872297.11,46058715.6,30773555.1,28005996.79,56971283.72,38112737.33,31858930.78,30603744.7,32750808.67,88279571.95,20690468.47,26868598.93,61574896.67,73435342.33,30666554
(S)-NICOTINE,1072260.193,3034155.887,3941061.175,1900288.275,2707564.214,3228479.809,3069499.668,2378472.098,2240598.769,2309034.359,3286066.366,3381625.878,372049.6122,4703546.532,4822554.213,562568.3838,2909284.951,7351583.948,1156580.796,4827319.118,152344.5935,3016367.183,8753024.365,3973912.047,951514.8159,3623211.487,6142686.581,4053154.325,175854.3848,3971588.751,2966534.398,1292921.323,2804969.924,4616796.335,3353299.423,389047.8394,1796534.019,9007904.26,3338973.358,100983.5082,90783.96841,8273567.635,4203118.759,591563.9343,2679372.884,6338150.912,3397014.653,1609156.504,916501.1185,3872795.007,3664252.755,1179005.37,1885257.027,2586274.905,3288547.754,1771204.89,2986930.989,6239154.743,6147971.788,1431806.043,2148279.197,3988132.25,2900716.605,1903265.676,2622318.822,5235560.803,4564824.284,1031495.045,3696619.74,5204388.204,2833052.443,1903237.212
4-IMIDAZOLEACETIC ACID,531819.9227,2573116.158,931381.9036,1814192.624,754082.1673,4921923.598,2748772.163,963761.448,1435385.525,3630957.708,2908123.495,2003363.291,788717.7436,2680507.632,4734576.464,1048912.812,2661591.555,7580037.824,6968072.969,3354719.564,1621679.725,2195919.679,6267277.995,3361625.8,64683.91377,1376517.781,1113217.062,811784.4067,753797.3416,4218253.605,5416149.168,2455580.491,2098015.168,3219618.138,4563341.233,6847812.56,3869441.362,4257921.371,4085200.508,1198994.919,2736529.847,4506254.665,2915773.965,5922520.053,2236981.528,10399462.62,5251057.722,4395072.57,437319.7624,1375996.875,964806.0623,625408.5789,1685737.126,1468504.207,1599149.869,2935210.811,3919521.189,5271441.27,2607456.09,1989218,4074820.372,2451767.875,3340069.127,1015925.113,6244256.72,6850951.72,6498808.873,1082092.037,1670534.144,9074521.842,4414343.011,2028052.061
L-TYROSINE,299584.6194,2726755.425,885543.9381,5418877.269,752607.8421,4584952.582,4072222.87,1143886.392,705229.9729,3976984.868,5944594.528,2281128.833,364909.3393,3566761.755,13287552.7,2093276.86,2915291.968,7710946.188,10583005.74,4624920.532,732639.3634,3823690.673,8142706.644,4233012.227,31735.87114,789928.0654,589727.4619,895738.2116,201859.9615,1623882.781,1379035.056,2248836.379,245994.2068,1195504.101,666530.2753,5656808.323,454341.2959,1074915.636,576403.9826,436467.9633,384236.2849,967052.2398,462125.2642,4737898.823,406486.5393,3152180.485,987402.5545,1283261.566,71194.78428,3198210.484,892265.5367,486087.6863,1581489.242,3864012.924,3629922.406,17886772.29,3618184.089,14200669.49,23602342.43,9474078.228,1139691.517,5674072.865,22337500.8,1800177.41,3406331.486,2995832.249,7819710.677,4125378.618,1302439.889,20533429.27,5652049.541,5620955.274
