"","1mem_Bt_12pt5hr-1","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-1","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-1","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-1","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-1","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-1","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_12pt5hr-4","1mem_Ps_25hr-1","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-1","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-1","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-1","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-1","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_1","ExControl-ExControl_2","ExControl-ExControl_3","ExControl-ExControl_4","ID","MZ","RT"
"594",2269.127381,3334.406234,4238.999826,2995.027518,2406.042045,7057.503341,4409.430619,3213.303522,3123.743879,3344.570292,5257.741546,4555.428595,2315.608016,3648.793448,8694.56563,2078.592059,4167.009218,7590.225215,4160.983843,5407.806662,2073.882282,2836.77269,6896.326441,867494.3069,5883159.81,3945172.034,2879174.986,9094021.272,39662200.64,51081567.86,28009636.74,27032581.96,55779607.23,61837191.67,79185871.71,38516553.22,64978879.68,52809217.84,18650119.02,26663000.29,88153875.5,55712117.04,72979533.44,21870265.96,114622847.9,69062530.83,69270239.2,266856.919,1287398.702,379143.948,211823.1395,909252.2747,1591634.802,3421989.071,3233001.948,1989115.422,4365826.558,4415751.538,1870709.316,1585451.518,4158647.927,9014013.458,1476362.941,2363418.757,3253470.866,8305696.621,2047310.775,1781030.036,6555046.979,11762712.45,3004649.27,2187.694447,89921.50045,4639.523042,4729.250908,662,110.0361477,5.005273877
"597",388904.0271,1052466.297,528796.6135,841211.5541,384695.6595,820390.8396,778218.8324,547738.6809,430520.5487,836773.3857,566549.5629,865328.6416,427800.7991,709328.6727,873557.9284,525392.4019,593751.6567,483804.2123,1096590.545,922783.5979,705392.0831,341375.2708,850742.1325,127746.784,6169629.399,2359177.972,1705410.654,3727349.279,10061244.88,6536419.013,5350162.348,14082010.13,16437512.63,10013050.82,38628983.2,42591571.48,28535323.3,17860591.31,13851808.35,55331932.48,54572931.44,154740358.6,125870270.7,54806648.84,110134539.1,44084516.68,121757857.5,4949709.727,24316292.03,13380195.53,9809889.888,40881899.03,56755816.85,44110507.4,96118358.07,73289564.34,163664600.2,72329479.85,49069464.17,51289853.92,120549649.3,68395592.98,37862764.57,60810801.92,146483987.3,74434330.02,40511469.17,38138249.4,99772214.12,80516757.32,45358277.53,37637.17316,265794.51,2045223.393,6064.486951,668,135.0315275,4.21306459
"633",8496.37645,13776.88468,18909.17202,21866.17774,13326.88113,23573.74355,31176.65748,58786.89358,17495.17616,12407.36506,21406.46786,1225251.79,7591.623016,9912.15756,13470.53136,12305.62785,25048.67402,24453.47097,24360.01708,464435.674,12690.63788,13669.03501,17197.40431,1987976.187,7821614.258,5749427.862,3928517.794,13903906.81,42428105.6,40655646.68,37252632.47,36870052.41,66276987.78,45939809.28,31713033.76,43137899.28,59980021.46,43403498.42,30620267.45,40996369.96,72521190.75,89306739.04,101199313.5,38212174.97,103200993.2,59413464.61,68778382.94,9917.073831,11262.81422,21937.43397,20710.93683,20633.50349,7584.067969,16298.61,33584.16266,15662.30733,23373.23537,15585.75886,72639.12996,341981.3178,5911.590287,20934.20159,14586.25939,240797.6314,11920.48988,40666.95371,12052.55244,1506914.613,13815.73961,20949.61325,22928.68392,4086.338298,12878.47762,8107.998666,5129.374443,707,155.0352665,8.010994202
"642",2788888.038,2786238.032,1251380.66,3276027.814,3289268.776,6337712.635,4055538.567,6948681.742,4179439.346,6221603.819,4954788.766,7321086.81,3601559.086,9127091.269,7291756.074,4802111.973,10736744.25,9110822.191,6947415.211,13137660.7,6681266.004,10085394.67,11067608.26,4023947.654,7359080.832,5982868.805,8816814.941,14944448.65,28278995.91,32628677.14,34044861.6,30616776.41,48726928,33478282.58,105347892.2,43819111.33,70054886.12,39596512.14,36985045.57,39255005.81,111467635.2,121932379.4,184532229.6,38217149.37,167308784.2,84426492.56,131666086,7074301.251,14299307.07,7464416.462,8270209.287,18103177.51,19891380.7,21147214.3,41677389.66,39301088.92,34215438.28,38811268.58,38245915.09,35618253.65,49681375.95,50587618.86,36737708.54,50128044.19,96988666.79,41315594.38,35760291.75,46584532.12,62073850.55,59849844.3,55977828.36,5860.464459,41041.51199,17744.88702,31416.60933,718,152.0355342,8.449926044
"744",15756484.5,150863825.3,45233397.6,114410339.9,45393864.01,212505088.3,204657367.3,32822147.91,48130941.56,114892507.1,208591091.8,25121993.54,60803058.08,124254207,378510923.2,11896540.17,69492556.25,235376856.3,446104808,67286473.87,58139047.85,148579445.3,229943213.6,266322.0736,15053540.85,944132.877,547208.0822,991590.0668,1450195.312,741777.3745,873678.8437,913231.4492,707777.4356,1650683.549,3571425.046,13559684.27,731403.2016,2793850.513,476907.3433,437394.2782,572618.2472,601881.3064,2778589.566,332896.8046,2960823.683,3833691.292,1518643.765,5853273.498,122968258.1,64702325.18,4260405.577,32396605.19,78698001.72,63676121.08,204795129.8,43793127.89,135989630.7,79668390.94,25558246.1,80012567.59,167184682.8,58169334.75,31549265.8,40291797.24,1921799635,82175923.2,11312691.47,1096550486,280094057.5,86353254.48,46143699.88,1388396.176,43015.3276,192262.9871,272734.9152,841,195.051347,10.38813821
"766",2908741.365,16059112.15,10366822.06,13163878.33,3635993.656,56546827.02,105765664.5,87107923.05,3842667.892,22716697.7,55644300.69,123588437.6,2154855.436,39018208.22,180194235.4,3594864.649,118239912.7,140300417.1,254845278.9,400021225,8578863.543,28205065.86,881539200.3,47486.20437,10835149.41,3624596.729,341793.3837,244151.1184,8102137.316,12046179.96,2178074.963,172527.6974,5959028.572,551408.4913,19780814.03,133217.2685,1329538.436,435107.0849,64100.10923,72407.08622,3054807.166,638981.0082,5906043.863,68131.17054,7193901.516,331055.2653,201580.1624,381609.1638,743245.1925,290059.8719,154672.9911,184729.219,5842553.659,615906.5261,17544262.44,681867.156,16580644.37,7250841.833,6976654.487,1022075.565,20223073.33,4449444.372,11319645.5,318834.1144,4873323.975,4043764.994,1555110.047,13145386.54,40554225.03,14762516.81,7901557.986,16475.62906,57779.5965,36739.28363,500815.6222,865,175.0605843,2.145511411
"780",60334592.57,128437674.9,68823989.38,86395078.05,58572128.65,346310195.2,157470902.2,232652568,69823624.37,452613016.7,197335822.1,340023090.2,41420972.05,632750948.5,311690649.4,159171444.3,198542521.9,728825269.4,479043067.6,422184801.3,41754332.69,562464796.3,457221431.7,6893316.829,13496992.81,1273319.02,12812205.24,8478319.705,1420152.654,13552133.44,10090317.69,10101082.75,3046980.975,1648195.849,21699303.85,4314856.587,8511306.643,1039413.886,2667848.205,7307103,7886430.364,7864619.684,16186349.6,7995358.03,5079205.4,8690563.339,7038048.153,10454644.49,14249391.89,2043473.464,12557756.18,13519680.32,19534005.23,2960490.938,52282468.1,20795728.05,54263467.51,34824050.81,40803062.6,22307412.34,46104140.69,29964628.18,38036852.13,10077911.95,8016751.521,10349752.83,28497439.51,21490418.55,22417524.29,23420676.4,41727205.61,13736527.48,220481.4255,1900209.288,3139710.002,882,101.0245843,3.372302122
"792",58352.2407,34888.00289,4695.945474,5391.734029,83192.80925,236457.3814,89710.70546,45282.82986,79606.96153,94636.26231,66495.81164,98503.41206,78779.25571,71586.39449,112689.6905,54942.28107,100837.5627,108839.3333,261150.5967,173132.6755,125425.0117,93474.23456,99628.74743,1141446.01,4197693.457,1173696.576,3437392.776,2318535.311,5594975.376,4532657.608,6388880.267,3836015.022,5984550.046,3784682.29,6252490.65,4214340.815,6482312.712,3090299.132,4139132.45,4443766.916,7371860.232,5184507.868,6288211.073,4311929.775,8357112.706,4043888.553,10466179.56,48298.14674,347391.02,140182.79,92068.8283,227183.6256,230375.7243,207938.2236,275515.5588,403059.0388,523213.8349,403136.9604,390822.5761,286878.2558,517341.4375,412413.1856,246164.5512,447809.8949,792348.4841,446434.3904,205956.6961,308869.4314,666252.4135,402285.2495,389606.7181,8152.288253,6539.318761,4145.431145,3655.607289,898,102.0562235,9.343816178
"870",3940685.918,5898704.274,1320120.318,1041112.844,4627614.752,8552038.189,5855248.297,7325103.456,5599554.896,7158356.291,5338077.817,8109326.124,3560718.95,8616106.493,10167748.76,4224671.064,9198849.374,9493714.5,12255519.54,15241868.25,6118929.382,7608781.967,8201146.528,1717917.969,6515146.028,3160676.775,4681257.001,7224469.133,12118134.93,8502401.399,10966120.97,9174870.676,13434297.94,7276446.816,17038575.6,7484310.532,7336598.384,3580744.683,7312710.215,5961438.826,5889367.589,451385.5358,11751383.99,455676.0652,5825508.007,4004516.704,10266245.88,2746921.185,8943293.848,2662718.813,3485821.665,6549996.236,7522631.032,6080306.302,13327649.94,15137399.98,14997307.27,8561611.702,12351005.27,8023236.192,22495622,9953433.829,10037446.65,12885866.97,16505024.87,11106257.68,8039678.951,6923148.402,33033738.68,13220198.59,14755536.24,98667.56159,95475.86268,66093.27843,171948.2259,992,105.0194652,8.698006676
"946",1158759.755,1630472.423,129401.4701,172343.0706,1073956.518,5582669.462,2916244.065,1720405.281,890289.5559,3932216.67,655053.8377,1520585.483,719052.0057,5165251.337,2512247.73,1047059.425,746413.3433,448051.0196,349751.9499,1878790.035,1888262.123,348923.3903,390571.0813,688835.0343,3697469.297,2894645.549,1692703.641,2802324.881,13850641.27,19844409.26,10502173.21,6546444.902,19909642.19,14764914.38,25108937.92,7594396.301,20292132.05,12121298.4,7035042.049,5427180.275,25510710,20691859.42,24167070.16,5028633.027,25884422.77,18557425.71,13123930.17,1438222.923,798703.3796,504129.6417,3039255.015,38549181.33,1631913.156,1016863.686,2906111.203,1861811.111,3733927.768,2855354.47,40508703.48,55025525.82,4561809.216,3319295.29,47377503.47,82996094.86,5124970.111,3280694.853,1794686.304,50060074.41,6101675.046,5618887.003,81999871.58,40803.66784,221300.969,1089458.49,140796.9902,1091,187.0725504,8.094098101
"960",3086663.992,8797614.207,5207534.109,5866415.024,3952504.197,11158669.61,6247351.826,6315303.83,4742068.137,11482810.85,7578722.83,6677242.161,3109672.656,14630825.77,13028532.79,3397985.171,12181134.05,24865590.41,20205747.43,12759652.68,9128854.894,19182731.53,22431611.75,427772.971,2172007.73,1065147.041,856006.5868,321713.3207,1046750.807,215465.3126,51227.80055,667699.2874,131928.8742,277227.1265,629015.4327,105104.9568,1155382.737,487183.5202,554071.566,2640537.234,1712738.717,3168331.439,2222480.631,3402815.261,2995136.044,483671.9211,4151662.761,68924658.71,158205859.1,95677136.6,64110114.35,182068372.7,160329945.9,228397126.6,337170033.2,335588425.5,324046945.1,323051792.7,260364514,232790242.6,302087517.3,337204989.4,253136228.2,298860994.8,350111722,351339597.7,220354510.5,284160074,373672148.3,511946776.6,316309284.7,6238.093827,19779.88531,36926.68378,35981.98893,1106,241.0833847,1.88005077
"1172",304108.472,84937.60587,270209.0993,153995.6968,119758.4381,150774.3255,149780.7184,367718.772,155608.6622,317979.9017,78741.57412,636965.4713,384604.0434,163657.3869,207108.0092,127381.0109,128366.0362,268053.7613,180921.1293,259891.1455,74914.66171,148143.0232,205746.8445,1437534.992,3333351.156,2588164.755,4441530.509,11553306.37,22145832.52,25033449.35,38010492.17,38095332.87,39098197.85,34830870.64,157091675.5,57430426.51,61818722.56,38940388.57,38492153.03,40563450.14,106770039.6,76245880.6,209057624.1,33497375.17,81181921.28,76749944.47,167944588.7,2059359.15,3771865.271,2552923.631,4382984.16,8511276.804,8865369.684,6144718.793,36714717.11,19996800.39,21647163.48,16192463.96,16837648.97,17741903.4,23156933.3,17602895.75,17263227.66,23284185.68,18893334.71,14945485.02,13518120.96,19970072.78,21598753.23,24922970.42,24044355.13,296330.0146,47130.30934,41837.12833,8349.942904,1369,163.0403566,4.312255258
"1446",757752.1686,656979.1375,1014311.626,818265.383,821746.7995,1084188.265,1215347.893,1301706.978,927781.6263,922538.5968,1602991.117,1604033.509,513205.5577,2820488.621,2475207.015,796697.0471,1473256.327,3524287.271,2915941.34,2389247.079,834772.5975,3178228.472,3157129.817,150423.331,1227317.513,991828.3882,730402.8857,777260.7815,3661764.954,2840474.762,1583956.599,1525621.514,4684163.684,3985924.985,3191771.777,2392478.832,4603343.142,3498095.719,1045526.407,2211677.818,5316616.667,5638714.377,3621257.796,1717310.136,6743160.711,3156101.092,2984633.175,411508.6782,1438310.765,668527.5467,271489.659,240334.0266,501577.8994,544348.3386,678875.3906,295379.4987,453609.8894,483811.7999,157490.9525,27747.76814,101314.2634,301809.5419,44066.41263,6080.959982,227458.0687,22022.3677,5060.364445,6213.982545,3706.032117,25376.9165,8136.166588,0,0,1977.29914,2682.826206,1760,296.0827689,1.811525171
"1524",206350.8263,910648.232,273806.4461,288513.7757,223526.3106,1118357.406,748216.0786,351098.1121,317829.4435,837252.9501,666015.0582,373316.5191,191917.7001,1158541.329,1148583.29,194720.5849,453678.2586,1394941.131,1529175.641,519466.0344,332488.9203,1160043.56,1198522.339,121192.4542,1773192.601,947921.232,403568.2678,459988.5676,3121883.374,2938715.996,1949971.377,1012552.44,3836780.157,4464459.82,5901827.996,1404425.767,3607434.355,3834650.575,1408189.287,985800.9058,4385765.403,4347643.974,5021676.348,826091.071,6052777.246,3723911.525,3934855.197,142995.2248,1333269.752,672256.1285,184764.3699,1160972.537,4137769.098,4209638.837,7234814.906,2800737.545,10626792.46,7161862.596,3083333.55,1942000.771,10560246.36,9486015.272,2355311.985,2982389.248,11276855.88,10506456.35,2682618.881,2227663.743,15746147.47,11177167.1,3478729.791,3267.325551,5007.593943,4220.327476,5934.558863,1869,109.0408605,6.43234504
"1701",2503647.498,3846634.376,3520283.008,13576392.04,3800578.253,3712649.624,10641775.09,13080678.29,4662947.945,2437608.561,9569326.692,11627961.19,3397282.776,2448582.06,25739273.71,9352055.268,16683118.77,6734315.168,34069432.55,24582066.9,5798419.424,8526659.513,48434221.39,165678.5916,1343400.198,5020877.027,1749688.227,2041154.145,2734855.52,9021113.374,2433283.249,4604437.236,2919316.07,11251284.97,13584096.74,8684112.721,11456057.75,11640809.03,4657215.02,5312930.697,9424521.229,13253176.35,13984869.27,3434382.077,6888453.918,11656204.59,16643998.11,11574150.22,3697758.528,5356353.83,6323313.318,5937047.361,15847415.18,17192716.85,33651646,5148961.579,12401271.67,22001274.8,33223950.8,8382810.124,11785252.45,20724488.1,21843522.04,8777622.979,12791380.32,19696502.69,12675443.94,5518814.743,7798713.623,38546705.86,24565869.65,183529.0637,14609.46318,25044.49842,17958.0243,2141,155.0099951,7.084591494
