libraryName	SampleId	rawReads	filteredReads	sampleName	conditionNumber	Condition	BioRep	timepoint	sequencerType	runType	fileUsed
BYTAT	150468	38385308	37035520	3mem_Ps_25hr_BR4	14	3mem	four	B-twf	HiSeq-2500 1TB	2x101	11869.3.224454.TTGTCGG-ACCGACA.filter-MICROTRANS.fastq.gz
BYTAY	150472	39178958	27596020	3mem_Ps_45hr_BR4	18	3mem	four	F-frtf	HiSeq-2500 1TB	2x101	11869.3.224454.GTCTAGG-ACCTAGA.filter-MICROTRANS.fastq.gz
BYTBA	150474	43007310	41441386	2mem_Ps_Bt_30hr_BR4	3	Burk	four	C-thr	HiSeq-2500 1TB	2x101	11869.3.224454.AGAAGCG-ACGCTTC.filter-MICROTRANS.fastq.gz
BYTAP	150466	38336690	20022990	Ps_mono_40hr_BR3	23	Mono	three	E-frt	HiSeq-2500 1TB	2x101	11869.3.224454.TGCTTGG-ACCAAGC.filter-MICROTRANS.fastq.gz
BYTBT	150483	39963874	37545110	Ps_mono_25hr_BR4	20	Mono	four	B-twf	HiSeq-2500 1TB	2x101	11869.4.224465.GTGAATC-GGATTCA.filter-MICROTRANS.fastq.gz
BYTBX	150486	41748968	21713302	Ps_mono_40hr_BR4	23	Mono	four	E-frt	HiSeq-2500 1TB	2x101	11869.4.224465.CGTTGAG-ACTCAAC.filter-MICROTRANS.fastq.gz
BYSXC	150416	36043258	33025030	2mem_Ps_Bt_40hr_BR1	5	Burk	one	E-frt	HiSeq-2500 1TB	2x101	11869.4.224465.TCGCTGT-AACAGCG.filter-MICROTRANS.fastq.gz
BYSYZ	150443	52125150	20653138	Ps_mono_25hr_BR2	20	Mono	two	B-twf	HiSeq-2500 1TB	2x101	11869.4.224465.AGTAGTC-GGACTAC.filter-MICROTRANS.fastq.gz
BYSXB	150415	47566234	38110528	2mem_Ps_Bt_35hr_BR1	4	Burk	one	D-thfv	HiSeq-2500 1TB	2x101	11869.3.224454.TGTACAC-GGTGTAC.filter-MICROTRANS.fastq.gz
BYZHX	150492	33941992	33649536	3mem_Ps_12.5hr_BR2	13	3mem	two	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.GCCTTGT-AACAAGG.filter-MICROTRANS.fastq.gz
BYZHY	150493	38120568	31484780	2mem_Ps_Bt_12.5hr_BR2	1	Burk	two	A-twh	HiSeq-2500 1TB	2x101	11888.3.225354.CTGACAC-TGTGTCA.filter-MICROTRANS.fastq.gz
BYSZG	150447	44056854	22106538	Ps_mono_45hr_BR2	24	Mono	two	F-frtf	HiSeq-2500 1TB	2x101	11869.5.224476.AGAATGC-GGCATTC.filter-MICROTRANS.fastq.gz
BYSZT	150453	40143490	15790160	2mem_Ps_Bt_25hr_BR3	2	Burk	three	B-twf	HiSeq-2500 1TB	2x101	11869.5.224476.GTTCAAC-GGTTGAA.filter-MICROTRANS.fastq.gz
BYSXH	150418	40925218	39379820	2mem_Ps_Cv_25hr_BR1	8	Chromo	one	B-twf	HiSeq-2500 1TB	2x101	11869.5.224476.GGACTGT-AACAGTC.filter-MICROTRANS.fastq.gz
BYSXG	150417	45543386	29731362	2mem_Ps_Bt_45hr_BR1	6	Burk	one	F-frtf	HiSeq-2500 1TB	2x101	11869.4.224465.AGCTAAC-GGTTAGC.filter-MICROTRANS.fastq.gz
BYTBU	150484	34007130	31888120	Ps_mono_30hr_BR4	21	Mono	four	C-thr	HiSeq-2500 1TB	2x101	11869.4.224465.GCGATAG-ACTATCG.filter-MICROTRANS.fastq.gz
BYSZB	150445	47179394	7379388	Ps_mono_35hr_BR2	22	Mono	two	D-thfv	HiSeq-2500 1TB	2x101	11869.4.224465.TCTCTTC-GGAAGAG.filter-MICROTRANS.fastq.gz
BYTBO	150480	36317042	34151910	2mem_Ps_Cv_35hr_BR4	10	Chromo	four	D-thfv	HiSeq-2500 1TB	2x101	11869.4.224465.TTGGACG-ACGTCCA.filter-MICROTRANS.fastq.gz
BYTBS	150482	36721554	34913740	2mem_Ps_Cv_45hr_BR4	12	Chromo	four	F-frtf	HiSeq-2500 1TB	2x101	11869.4.224465.ACCGTAG-ACTACGG.filter-MICROTRANS.fastq.gz
BYTBB	150475	42471092	38923960	2mem_Ps_Bt_35hr_BR4	4	Burk	four	D-thfv	HiSeq-2500 1TB	2x101	11869.5.224476.TATTCGC-GGCGAAT.filter-MICROTRANS.fastq.gz
BYTAH	150463	42103994	33861382	Ps_mono_25hr_BR3	20	Mono	three	B-twf	HiSeq-2500 1TB	2x101	11869.5.224476.TAGTGAC-GGTCACT.filter-MICROTRANS.fastq.gz
BYTAC	150461	41329480	6083420	2mem_Ps_Cv_40hr_BR3	11	Chromo	three	E-frt	HiSeq-2500 1TB	2x101	11869.5.224476.GAAGTAC-GGTACTT.filter-MICROTRANS.fastq.gz
BYSXN	150419	44055030	29095030	2mem_Ps_Cv_30hr_BR1	9	Chromo	one	C-thr	HiSeq-2500 1TB	2x101	11869.5.224476.ACGGAAC-TGTTCCG.filter-MICROTRANS.fastq.gz
BYSYO	150435	42930144	18006670	2mem_Ps_Bt_35hr_BR2	4	Burk	two	D-thfv	HiSeq-2500 1TB	2x101	11869.5.224476.ATTGAGC-GGCTCAA.filter-MICROTRANS.fastq.gz
BYSYC	150431	40330120	20875682	3mem_Ps_40hr_BR2	17	3mem	two	E-frt	HiSeq-2500 1TB	2x101	11869.5.224476.TTCGTAC-GGTACGA.filter-MICROTRANS.fastq.gz
BYSXP	150421	45853384	9581554	2mem_Ps_Cv_40hr_BR1	11	Chromo	one	E-frt	HiSeq-2500 1TB	2x101	11869.6.224487.ACAGCAA-GTTGCTG.filter-MICROTRANS.fastq.gz
BYSYX	150441	42678278	3960500	2mem_Ps_Cv_40hr_BR2	11	Chromo	two	E-frt	HiSeq-2500 1TB	2x101	11869.6.224487.ACGATGA-GTCATCG.filter-MICROTRANS.fastq.gz
BYSXU	150424	36264086	33223102	Ps_mono_30hr_BR1	21	Mono	one	C-thr	HiSeq-2500 1TB	2x101	11826.8.221682.TGTGCGT-AACGCAC.filter-MICROTRANS.fastq.gz
BYTAU	150469	43856294	12686636	3mem_Ps_30hr_BR4	15	3mem	four	C-thr	HiSeq-2500 1TB	2x101	11826.8.221682.CCAAGCA-TTGCTTG.filter-MICROTRANS.fastq.gz
BYSYG	150432	46464752	42049594	3mem_Ps_45hr_BR2	18	3mem	two	F-frtf	HiSeq-2500 1TB	2x101	11826.7.221672.ACGGTCT-AAGACCG.filter-MICROTRANS.fastq.gz
BYSXZ	150428	41583058	38084340	3mem_Ps_25hr_BR2	14	3mem	two	B-twf	HiSeq-2500 1TB	2x101	11826.7.221672.TCCGAGT-AACTCGG.filter-MICROTRANS.fastq.gz
BYZNC	150497	40200674	14259454	2mem_Ps_Bt_12.5hr_BR3	1	Burk	three	A-twh	HiSeq-2500 1TB	2x101	11888.5.225376.AGCTAAC-GGTTAGC.filter-MICROTRANS.fastq.gz
BYZNO	150501	42705476	31500000	2mem_Ps_Bt_12.5hr_BR4	1	Burk	four	A-twh	HiSeq-2500 1TB	2x101	11888.5.225376.ACAGCAA-GTTGCTG.filter-MICROTRANS.fastq.gz
BYZNH	150499	35989156	27983884	Ps_mono_12.5hr_BR3	19	Mono	three	A-twh	HiSeq-2500 1TB	2x101	11888.5.225376.ACGGAAC-TGTTCCG.filter-MICROTRANS.fastq.gz
BYZNB	150496	37412950	31029558	3mem_Ps_12.5hr_BR3	13	3mem	three	A-twh	HiSeq-2500 1TB	2x101	11888.5.225376.TCGCTGT-AACAGCG.filter-MICROTRANS.fastq.gz
BYSYN	150434	47027084	45097810	2mem_Ps_Bt_30hr_BR2	3	Burk	two	C-thr	HiSeq-2500 1TB	2x101	11826.7.221672.GAACGCT-AAGCGTT.filter-MICROTRANS.fastq.gz
BYSYB	150430	43282036	33100376	3mem_Ps_35hr_BR2	16	3mem	two	D-thfv	HiSeq-2500 1TB	2x101	11826.7.221672.CCTCAGT-AACTGAG.filter-MICROTRANS.fastq.gz
BYSYP	150436	43515164	41506074	2mem_Ps_Bt_40hr_BR2	5	Burk	two	E-frt	HiSeq-2500 1TB	2x101	11826.7.221672.GTGAGCT-AAGCTCA.filter-MICROTRANS.fastq.gz
BYSWT	150408	49367012	23192056	3mem_Ps_25hr_BR1	14	3mem	one	B-twf	HiSeq-2500 1TB	2x101	11826.7.221672.GAGCTCA-TTGAGCT.filter-MICROTRANS.fastq.gz
BYSXX	150426	47833146	40434634	Ps_mono_40hr_BR1	23	Mono	one	E-frt	HiSeq-2500 1TB	2x101	11826.7.221672.GCTACGT-AACGTAG.filter-MICROTRANS.fastq.gz
BYSZP	150451	38900744	15695090	3mem_Ps_40hr_BR3	17	3mem	three	E-frt	HiSeq-2500 1TB	2x101	11869.6.224487.TCGGTTA-GTAACCG.filter-MICROTRANS.fastq.gz
BYSYS	150437	46176480	6030226	2mem_Ps_Bt_45hr_BR2	6	Burk	two	F-frtf	HiSeq-2500 1TB	2x101	11869.6.224487.CAATCGA-GTCGATT.filter-MICROTRANS.fastq.gz
BYTBP	150481	40368474	30634348	2mem_Ps_Cv_40hr_BR4	11	Chromo	four	E-frt	HiSeq-2500 1TB	2x101	11869.6.224487.CACCTTA-GTAAGGT.filter-MICROTRANS.fastq.gz
BYSYH	150433	36435220	4317326	2mem_Ps_Bt_25hr_BR2	2	Burk	two	B-twf	HiSeq-2500 1TB	2x101	11869.6.224487.GTAACGA-GTCGTTA.filter-MICROTRANS.fastq.gz
BYSYU	150439	44591174	33539644	2mem_Ps_Cv_30hr_BR2	9	Chromo	two	C-thr	HiSeq-2500 1TB	2x101	11869.6.224487.TGACTGA-GTCAGTC.filter-MICROTRANS.fastq.gz
BYTBW	150485	39047430	33913340	Ps_mono_35hr_BR4	22	Mono	four	D-thfv	HiSeq-2500 1TB	2x101	11869.6.224487.CTCGATA-GTATCGA.filter-MICROTRANS.fastq.gz
BYSXO	150420	37226380	26819134	2mem_Ps_Cv_35hr_BR1	10	Chromo	one	D-thfv	HiSeq-2500 1TB	2x101	11869.6.224487.GTTCGGT-AACCGAA.filter-MICROTRANS.fastq.gz
BYSXY	150427	48859828	21919582	Ps_mono_45hr_BR1	24	Mono	one	F-frtf	HiSeq-2500 1TB	2x101	11869.7.224498.CGCTTAA-GTTAAGC.filter-MICROTRANS.fastq.gz
BYTBY	150487	50977184	28900962	Ps_mono_45hr_BR4	24	Mono	four	F-frtf	HiSeq-2500 1TB	2x101	11826.8.221682.TCACAGC-TGCTGTG.filter-MICROTRANS.fastq.gz
BYTAO	150465	43997540	26888740	Ps_mono_35hr_BR3	22	Mono	three	D-thfv	HiSeq-2500 1TB	2x101	11826.8.221682.CACTGAC-TGTCAGT.filter-MICROTRANS.fastq.gz
BYTAX	150471	44560374	32368872	3mem_Ps_40hr_BR4	17	3mem	four	E-frt	HiSeq-2500 1TB	2x101	11826.8.221682.ATGGTCC-TGGACCA.filter-MICROTRANS.fastq.gz
BYTAZ	150473	44607818	39417120	2mem_Ps_Bt_25hr_BR4	2	Burk	four	B-twf	HiSeq-2500 1TB	2x101	11826.8.221682.AAGAGCC-TGGCTCT.filter-MICROTRANS.fastq.gz
BYSXW	150425	49816912	4485602	Ps_mono_35hr_BR1	22	Mono	one	D-thfv	HiSeq-2500 1TB	2x101	11826.8.221682.ACCATCC-TGGATGG.filter-MICROTRANS.fastq.gz
BYSWU	150409	45481960	40204604	3mem_Ps_30hr_BR1	15	3mem	one	C-thr	HiSeq-2500 1TB	2x101	11826.7.221672.ATAGCGG-ACCGCTA.filter-MICROTRANS.fastq.gz
BYZHZ	150494	29111424	23308186	2mem_Ps_Cv_12.5hr_BR2	7	Chromo	two	A-twh	HiSeq-2500 1TB	2x101	11888.4.225365.CCAGTGT-AACACTG.filter-MICROTRANS.fastq.gz
BYZNA	150495	40399926	39173288	Ps_mono_12.5hr_BR2	19	Mono	two	A-twh	HiSeq-2500 1TB	2x101	11888.4.225365.TGTACAC-GGTGTAC.filter-MICROTRANS.fastq.gz
BYZNS	150503	41307324	23332168	Ps_mono_12.5hr_BR4	19	Mono	four	A-twh	HiSeq-2500 1TB	2x101	11888.4.225365.TCATCAC-GGTGATG.filter-MICROTRANS.fastq.gz
BYSZN	150449	47747180	9170676	3mem_Ps_30hr_BR3	15	3mem	three	C-thr	HiSeq-2500 1TB	2x101	11826.8.221682.AGCAAGC-TGCTTGC.filter-MICROTRANS.fastq.gz
BYSZW	150455	38771264	33863956	2mem_Ps_Bt_35hr_BR3	4	Burk	three	D-thfv	HiSeq-2500 1TB	2x101	11826.8.221682.GGATACC-TGGTATC.filter-MICROTRANS.fastq.gz
