Code,Sample,Ind,time,class,factor,RowOrder
BXNXO,3mem_Bt_25hr_BR2,10,1500,exp_3mem,3mem_25,56
BXNXP,3mem_Bt_30hr_BR2,10,1800,exp_3mem,3mem_30,57
BXNXS,3mem_Bt_35hr_BR2,10,2100,exp_3mem,3mem_35,58
BXNXT,3mem_Bt_40hr_BR2,10,2400,exp_3mem,3mem_40,59
BXNXU,3mem_Bt_45hr_BR2,10,2700,exp_3mem,3mem_45,60
BYZPG,3mem_Bt_12.5hr_BR3,11,750,exp_3mem,3mem_12,61
BXNYW,3mem_Bt_25hr_BR3,11,1500,exp_3mem,3mem_25,62
BXNYX,3mem_Bt_30hr_BR3,11,1800,exp_3mem,3mem_30,63
BXNYY,3mem_Bt_35hr_BR3,11,2100,exp_3mem,3mem_35,64
BXNYZ,3mem_Bt_40hr_BR3,11,2400,exp_3mem,3mem_40,65
BXNZA,3mem_Bt_45hr_BR3,11,2700,exp_3mem,3mem_45,66
BYZPP,3mem_Bt_12.5hr_BR4,12,750,exp_3mem,3mem_12,67
BXOAB,3mem_Bt_25hr_BR4,12,1500,exp_3mem,3mem_25,68
BXOAC,3mem_Bt_30hr_BR4,12,1800,exp_3mem,3mem_30,69
BXOAG,3mem_Bt_35hr_BR4,12,2100,exp_3mem,3mem_35,70
BXOAH,3mem_Bt_40hr_BR4,12,2400,exp_3mem,3mem_40,71
BXOAN,3mem_Bt_45hr_BR4,12,2700,exp_3mem,3mem_45,72
BYZOY,Bt_mono_12.5hr_BR1,13,750,con,mono_12,73
BXNXB,Bt_mono_25hr_BR1,13,1500,con,mono_25,74
BXNXC,Bt_mono_30hr_BR1,13,1800,con,mono_30,75
BXNXG,Bt_mono_35hr_BR1,13,2100,con,mono_35,76
BXNXH,Bt_mono_40hr_BR1,13,2400,con,mono_40,77
BYZPC,Bt_mono_12.5hr_BR2,14,750,con,mono_12,78
BXNYO,Bt_mono_25hr_BR2,14,1500,con,mono_25,79
BXNYP,Bt_mono_30hr_BR2,14,1800,con,mono_30,80
BXNYS,Bt_mono_35hr_BR2,14,2100,con,mono_35,81
BXNYT,Bt_mono_40hr_BR2,14,2400,con,mono_40,82
BXNYU,Bt_mono_45hr_BR2,14,2700,con,mono_45,83
BXNZW,Bt_mono_25hr_BR3,15,1500,con,mono_25,84
BXNZX,Bt_mono_30hr_BR3,15,1800,con,mono_30,85
BXNZY,Bt_mono_35hr_BR3,15,2100,con,mono_35,86
BXNZZ,Bt_mono_40hr_BR3,15,2400,con,mono_40,87
BXOAA,Bt_mono_45hr_BR3,15,2700,con,mono_45,88
BYZPU,Bt_mono_12.5hr_BR4,16,750,con,mono_12,89
BXOBB,Bt_mono_25hr_BR4,16,1500,con,mono_25,90
BXOBC,Bt_mono_30hr_BR4,16,1800,con,mono_30,91
BXOBG,Bt_mono_35hr_BR4,16,2100,con,mono_35,92
BXOBH,Bt_mono_40hr_BR4,16,2400,con,mono_40,93
BXOBN,Bt_mono_45hr_BR4,16,2700,con,mono_45,94
