inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
KANBLCMYLIMCNY	InChI=1S/C10H15NO5/c1-3-4-11-8(12)5-7(6-9(13)14)10(15)16-2/h5H,3-4,6H2,1-2H3,(H,11,12)(H,13,14)	C10H15NO5	1058	-3184.717653351939	""	CCCN=C(C=C(CC(=O)O)C(=O)OC)O	0.275999993	""	PubChem:(118132283)
VARQQQCZEGYTIE	InChI=1S/C10H13NO4/c1-2-3-8(12)11-10(9(13)14)4-6-15-7-5-10/h4-7H2,1H3,(H,11,12)(H,13,14)	C10H13NO4	1059	-3184.727791584358	""	CC#CC(=NC1(CCOCC1)C(=O)O)O	0.656000018	""	PubChem:(107986907)
QWOZMASHQFUKLK	InChI=1S/C10H13NO4/c1-6-3-4-9(15-6)8(5-10(13)14)11-7(2)12/h3-4,8H,5H2,1-2H3,(H,11,12)(H,13,14)	C10H13NO4	1060	-3184.76205836086	""	CC1=CC=C(C(CC(=O)O)N=C(C)O)O1	0.175999999	""	PubChem:(63650049 63650052 78947541)
MTVWATJJZHWEOH	InChI=1S/C10H13NO4/c11-8(5-12)7-3-6(4-10(14)15)1-2-9(7)13/h1-3,8,12-13H,4-5,11H2,(H,14,15)	C10H13NO4	1061	-3184.800972155779	""	C1=C(C=C(C(CO)N)C(=C1)O)CC(=O)O	-0.0120000001	""	PubChem:(66514497 66514498)
TVIGPUFOMNPHDJ	InChI=1S/C10H15NO5/c1-3-5-11(6-4-2)7(9(13)14)8(12)10(15)16/h1,7-8,12H,4-6H2,2H3,(H,13,14)(H,15,16)	C10H15NO5	1062	-3184.8055681752653	2-hydroxy-3-[propyl(prop-2-ynyl)amino]butanedioic acid	C#CCN(CCC)C(C(C(=O)O)O)C(=O)O	-0.626999974	""	PubChem:(21131091)
ROEZNSSARZDMNV	InChI=1S/C10H13NO4/c1-6(2)15-10(14)7-3-4-11-5-8(7)9(12)13/h3-4,6,11H,5H2,1-2H3,(H,12,13)	C10H13NO4	1063	-3184.8358312944583	4-propan-2-yloxycarbonyl-1,2-dihydropyridine-3-carboxylic acid	CC(C)OC(=O)C1=C(CNC=C1)C(=O)O	1.00800002	""	PubChem:(19889148)
BGULKUOCQFFIFE	InChI=1S/C10H13NO4/c1-5-2-6(7(4-11)10(14)15)9(13)3-8(5)12/h2-3,7,12-13H,4,11H2,1H3,(H,14,15)	C10H13NO4	1064	-3184.909155171442	""	CC1=C(C=C(C(=C1)C(CN)C(=O)O)O)O	-0.122000001	""	PubChem:(84781511)
RNMJHLHOVXMFMP	InChI=1S/C10H13NO4/c12-5-6(9(14)15)11-7-4-8(13)10(7)2-1-3-10/h4,6,11-12H,1-3,5H2,(H,14,15)	C10H13NO4	1065	-3184.987843009223	""	C1CC2(C1)C(=CC2=O)NC(CO)C(=O)O	-0.36500001	""	PubChem:(101843861)
PBPXTLZGTPLBEL	InChI=1S/C10H15NO5/c1-16-10(13)8-4-2-3-7(11(14)15)5-6-9(8)12/h7-8H,2-6H2,1H3	C10H15NO5	1066	-3185.013110118831	methyl 5-nitro-2-oxocyclooctane-1-carboxylate	COC(=O)C1CCCC(CCC1=O)N(=O)=O	0.221000001	""	PubChem:(13128994 71407622)
WRXLGLRLLGWHGJ	InChI=1S/C10H13NO4/c11-8(5-12)7-2-1-6(3-9(7)13)4-10(14)15/h1-3,8,12-13H,4-5,11H2,(H,14,15)	C10H13NO4	1067	-3185.0441692917807	""	C1=C(C=C(C(=C1)C(CO)N)O)CC(=O)O	-0.0120000001	""	PubChem:(66514515 66514528)
YLPKNIHHDWYUES	InChI=1S/C10H13NO4/c1-7-8(4-6-15-7)10(14)11(2)5-3-9(12)13/h4,6H,3,5H2,1-2H3,(H,12,13)	C10H13NO4	1068	-3185.0543516697976	""	CC1=C(C=CO1)C(=O)N(C)CCC(=O)O	-0.0500000007	""	PubChem:(60989961)
XBBDACCLCFWBSI	InChI=1S/C10H13NO4/c1-15-10(14)7(11)4-6-2-3-8(12)9(13)5-6/h2-3,5,7,12-13H,4,11H2,1H3	C10H13NO4	1069	-3185.0569903015316	Melevodopa	COC(=O)C(CC1=CC=C(C(=C1)O)O)N	0.456999987	""	biological;PubChem:(23497 135504 424631 5233030 6918946 6942173 24992017 24994587 87422795 87422842 87422969 87422977 87423364 87423426 87632525 87633777 87635123 90333310 90693429 90760846 90901704 90939432 91296501 91359387 91522962 91568905 124102781 129085036);CHEBI:(134880);KEGG Mine
CGTIZSGAUUMFGS	InChI=1S/C10H13NO4/c1-7(8-4-3-5-15-8)11(2)9(12)6-10(13)14/h3-5,7H,6H2,1-2H3,(H,13,14)	C10H13NO4	1070	-3185.0638261262534	""	CC(C1=CC=CO1)N(C)C(=O)CC(=O)O	0.565999985	""	PubChem:(83624567)
GDXWQXVQAOCBPB	InChI=1S/C10H13NO4/c1-7(4-5-10(13)14-3)9(6-11)15-8(2)12/h4-5H2,1-3H3	C10H13NO4	1071	-3185.121502658303	4-Pentenoic acid, 5-(acetyloxy)-5-cyano-4-methyl-, methyl ester, (E)-	CC(=C(C#N)OC(=O)C)CCC(=O)OC	0.284999996	""	PubChem:(71389844 92017065 92017069)
UJBKSFSCYMSSKV	InChI=1S/C10H13NO4/c1-5-8(6(2)12)7(4-15-3)11-9(5)10(13)14/h11H,4H2,1-3H3,(H,13,14)	C10H13NO4	1072	-3185.1776661883	""	CC1=C(C(=O)O)NC(=C1C(=O)C)COC	0.569999993	""	PubChem:(71044630)
JMDUHYFLWANRLF	InChI=1S/C10H13NO4/c12-10(13)8-2-4-15-9(8)5-11-7-1-3-14-6-7/h2,4,7,11H,1,3,5-6H2,(H,12,13)	C10H13NO4	1073	-3185.2010678810398	""	C1COCC1NCC2=C(C=CO2)C(=O)O	-0.240999997	""	PubChem:(103258404)
UJSQVQXXHHGZNK	InChI=1S/C10H13NO4/c1-10(2,9(13)14)6-11-8(12)7-4-3-5-15-7/h3-5H,6H2,1-2H3,(H,11,12)(H,13,14)	C10H13NO4	1074	-3185.236577199506	""	CC(C)(CNC(=O)C1=CC=CO1)C(=O)O	0.160999998	""	PubChem:(81367405)
PGNKQGAKGCPVJU	InChI=1S/C10H15NO5/c1-2-3-4-5-10(14)15-16-11-8(12)6-7-9(11)13/h2-7H2,1H3	C10H15NO5	1075	-3185.343201623706	""	CCCCCC(=O)OON1C(=O)CCC1=O	0.911000013	""	PubChem:(88340098)
SZOIVZXWUJTKNQ	InChI=1S/C10H15NO5/c1-3-4-16-10(14)11(2)8-6-15-5-7(8)9(12)13/h3,7-8H,1,4-6H2,2H3,(H,12,13)	C10H15NO5	1076	-3185.3783406839048	""	C=CCOC(=O)N(C)C1COCC1C(=O)O	-0.314999998	""	PubChem:(66235344)
HDIYYTNHRGDJIX	InChI=1S/C10H13NO4/c1-6-7(5-9(12)14-2)4-8(11-6)10(13)15-3/h4,11H,5H2,1-3H3	C10H13NO4	1077	-3185.3998990919354	""	CC1=C(C=C(C(=O)OC)N1)CC(=O)OC	0.707000017	""	PubChem:(83670550)
RBMCCWCPQQBQMI	InChI=1S/C10H13NO4/c1-2-3-4-5-10(14)15-11-8(12)6-7-9(11)13/h2H,1,3-7H2	C10H13NO4	1078	-3185.452350274039	""	C=CCCCC(=O)ON1C(=O)CCC1=O	0.545000017	""	PubChem:(88878535)
FJKDFVVRTGMKLS	InChI=1S/C10H15NO5/c1-3-15-8(12)10(14,6-5-7-11)9(13)16-4-2/h14H,3-6H2,1-2H3	C10H15NO5	1079	-3185.4991611250703	""	CCOC(=O)C(CCC#N)(C(=O)OCC)O	0.298000008	""	PubChem:(72736415)
NYHVTMNCZKBVND	InChI=1S/C10H15NO5/c1-6(2)9(13)11-7(10(14)16-4)5-8(12)15-3/h7H,1,5H2,2-4H3,(H,11,13)	C10H15NO5	1080	-3185.6547193122465	""	C=C(C)C(=NC(CC(=O)OC)C(=O)OC)O	0.0299999993	""	PubChem:(11085567)
XQDCTHRYXHORFY	InChI=1S/C10H13NO4/c1-6-7(11-15-8(6)12)10(9(13)14)4-2-3-5-10/h6H,2-5H2,1H3,(H,13,14)	C10H13NO4	1081	-3185.695164921726	""	CC1C(=NOC1=O)C2(CCCC2)C(=O)O	1.31099999	""	PubChem:(112710677)
IQKCMUMBAYOVGS	InChI=1S/C10H13NO4/c11-7-2-3-8(10(14)15)6(5-7)1-4-9(12)13/h2-3,5,9,12-13H,1,4,11H2,(H,14,15)	C10H13NO4	1082	-3185.7815976671254	""	C(CC(O)O)C1=CC(=CC=C1C(=O)O)N	-0.00999999978	""	PubChem:(70183959)
WOFCSWITGKLSAJ	InChI=1S/C10H13NO4/c1-2-7-3-4-8(15-7)5-9(10(13)14)11-6-12/h3-4,6,9H,2,5H2,1H3,(H,11,12)(H,13,14)	C10H13NO4	1083	-3185.804199770376	""	CCC1=CC=C(CC(C(=O)O)N=CO)O1	0.193000004	""	PubChem:(64140247)
RDGZNHPFTVINCM	InChI=1S/C10H15NO5/c1-6-2-8(13)11(9(14)3-6)5-7(12)4-10(15)16/h6-7,12H,2-5H2,1H3,(H,15,16)	C10H15NO5	1084	-3185.8045616735735	""	CC1CC(=O)N(CC(CC(=O)O)O)C(=O)C1	-1.09399998	""	PubChem:(82776508)
BNQPNLAMGSDTCY	InChI=1S/C10H15NO5/c1-11-8(13)5-7(10(15)16-2)6(3-4-12)9(11)14/h6-7,12H,3-5H2,1-2H3	C10H15NO5	1085	-3185.8141181160813	""	CN1C(=O)CC(C(CCO)C1=O)C(=O)OC	-1.57799995	""	PubChem:(112484333)
