"ID","MZ","RT","1mem_Cv_12pt5hr-2","1mem_Cv_25hr-2","1mem_Bt_12pt5hr-2","1mem_Cv_35hr-2","1mem_Cv_40hr-2","1mem_Cv_30hr-2","1mem_Bt_30hr-2","1mem_Bt_25hr-2","1mem_Ps_12pt5hr-2","1mem_Bt_35hr-2","1mem_Bt_45hr-2","1mem_Bt_40hr-2","1mem_Ps_40hr-2","1mem_Ps_25hr-2","1mem_Bt_30hr-3","1mem_Cv_45hr-2","1mem_Ps_30hr-2","1mem_Bt_25hr-3","1mem_Ps_35hr-2","1mem_Bt_12pt5hr-3","1mem_Ps_45hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_25hr-3","1mem_Cv_30hr-3","1mem_Cv_45hr-3","1mem_Bt_35hr-3","1mem_Cv_40hr-3","1mem_Bt_40hr-3","1mem_Cv_35hr-3","1mem_Ps_40hr-3","1mem_Ps_25hr-3","1mem_Ps_12pt5hr-3","1mem_Ps_30hr-3","1mem_Ps_45hr-3","1mem_Bt_45hr-3","1mem_Bt_12pt5hr-4","1mem_Ps_35hr-3","1mem_Bt_25hr-4","ExControl-ExControl_3","ExControl-ExControl_4","ExControl-ExControl_2","1mem_Bt_30hr-4","1mem_Cv_30hr-4","1mem_Cv_35hr-4","1mem_Cv_12pt5hr-4","1mem_Cv_45hr-4","1mem_Ps_25hr-4","1mem_Cv_40hr-4","1mem_Cv_25hr-4","1mem_Bt_35hr-4","1mem_Ps_45hr-4","1mem_Ps_30hr-4","1mem_Ps_35hr-4","1mem_Bt_40hr-4","1mem_Ps_40hr-4","1mem_Cv_30hr-1","1mem_Cv_35hr-1"
6266,598.1037959,8.648262822,15564.78645,49424.31831,13261.25694,50968.02504,25288.91763,31326.86134,29418.03233,8347.679633,33782.47369,21038.94186,44480.07668,6170.421601,69899.39001,50110.14916,30538.6008,3279.005558,20925.96928,70568.03589,46771.01583,40340.29104,13070.18389,62846.05707,51955.262,83489.08145,33967.6028,30237.23484,38279.22361,37361.19347,128508.2816,36594.02485,57048.93579,59219.59019,68912.31961,30359.41294,49081.15411,152295.9549,23838.86433,60604.52134,152403.7212,179416.2122,0,175163.4417,143868.4939,72392.62684,177404.9188,172666.5673,121134.7522,186320.9931,108186.5309,84456.35251,130854.9417,119856.5448,69229.51639,76400.54246,77361.75376,92150.93474,250326.729
6270,956.385522,2.096415781,0,47526.4764,0,59020.68234,24169.21381,62956.96796,0,0,0,0,0,0,0,0,0,69712.27859,0,0,0,0,0,0,1277.469585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46609.43164,62530.57067,0,47972.33745,0,69738.51387,35050.54716,0,0,0,0,0,0,141338.5115,199498.2286
6277,526.7760472,10.27611302,10457.03883,46502.07527,29596.11445,32531.36597,30707.9166,61365.26433,17884.09365,21486.79725,12451.68766,11418.86546,17528.84435,45871.11407,24069.94681,33090.10967,6515.930497,12531.13888,41978.97123,9318.963567,8427.112739,23134.59254,21780.74882,6875.189425,24808.2247,12380.17284,7417.699081,9974.780414,8656.650961,57228.85424,57057.00336,42708.41821,13571.94588,51218.11992,22309.96095,42522.23117,11788.78905,15643.01496,31824.63443,10918.80734,17071.29001,48453.34566,5771.670715,38111.13793,41552.61858,33292.76117,14039.54721,40092.62976,29855.97018,29853.8755,21178.83149,44236.32751,34269.91636,24824.90957,24955.26997,18861.5272,25612.62946,33658.57133,42563.42986
6286,492.7706506,10.44068456,10992.12571,55774.64621,7755.535108,9987.877196,7650.03024,34307.26724,2224.21123,5677.587019,6311.233564,33890.89686,5961.239837,93968.59771,5982.748911,3844.256209,3316.622351,191043.8107,59382.70783,1411.044039,5242.024312,1449.304345,5601.822853,1885.709307,3471.155891,4183.035818,4282.748022,3583.550538,3735.036063,2805.582506,2621.386479,1872.10082,1337.809623,1144.280128,5139.006076,2220.096956,1957.901002,0,2098.611803,2177.51776,1582.782009,1417.043405,237154.1554,1692.004244,0,2306.987314,2094.594714,1578.380842,1350.717625,1939.362906,6499.099471,4678.510565,1400.515977,1358.078267,1741.420399,2202.941052,4184.784,1882.3259,1367.048186
6296,421.1352235,9.012406535,0,58659.70664,2191.935352,666.9304397,1696.356912,33233.68913,1260.314835,689.6175837,761.3189718,4744.525248,553.7738348,936.7109866,0,1355.855329,1299.203151,605.5534423,52309.47326,0,1632.258633,3889.768327,608.7285056,560.0233639,0,1816.238011,0,3020.788751,0,17816.46171,0,0,0,6107.921045,745.7008949,0,453.7038129,107611.7848,3409.292558,18857.11914,32535.26895,817.7392814,423.2195058,3776.963992,2843.936661,914.9016902,733.6802848,769.8084376,70594.72969,23471.63217,52336.18367,43869.06886,13816.9004,32748.25852,707.0117687,20244.13688,1872.606263,95724.11079,98371.23652
6308,554.717952,10.35432308,1377.395377,43119.20157,5900.880242,8503.64158,35562.0532,10023.68539,5330.68124,2171.167264,6932.672783,14293.38547,5187.24401,34714.04499,3150.200109,28279.36658,1605.400928,87010.10137,870576.0553,1925.921886,36309.13629,2170.417079,4212.99388,2405.00472,7235.102306,3167.757597,2035.351992,9303.283173,4649.907749,2052.348629,2128.332612,3184.229534,4174.978407,2185.913143,4197.548995,7878.828453,6122.466779,4786.99519,1497.86039,2182.4272,1917.282681,2912.653373,121984.1972,2462.33424,4841.596438,6786.458684,2530.478071,2535.528582,5599.788186,4971.485732,1966.917837,3873.623652,3378.157488,2357.96337,3407.715643,3119.692804,5973.346025,2567.788905,2664.992898
6311,436.6226426,8.281361575,21507.01225,97335.76917,28622.58901,140779.7756,34472.74551,137843.5786,35526.39193,11445.02106,147450.4879,101758.6096,156759.1104,13460.90476,100881.2423,56495.14975,42802.03694,1778.487733,114066.0983,31036.64446,63396.09793,31453.6465,19364.46073,20707.75408,38207.75543,65962.32617,58683.24932,54992.91026,52334.82102,25308.59265,27948.20917,27557.17555,17615.37737,31711.5034,26375.58896,52054.10158,62103.16391,52345.44044,49594.36431,121656.7107,57741.68469,186661.3743,0,160280.1469,43305.08771,43476.27755,36969.91388,201081.8094,55121.0204,108701.2294,22672.28388,142742.0108,127688.4845,145224.93,41728.02995,158793.4473,118047.2282,28540.02534,193825.5269
6319,327.1898993,8.533443373,20709.94161,129556.393,51352.72859,93601.79621,50366.13207,607875.4268,210106.6374,180408.9744,143924.507,213426.956,217798.0183,280118.8701,68523.80104,188588.3746,72855.69575,123973.931,41906.66407,37137.7944,114727.3785,133153.2267,75504.20438,20355.39982,58539.8311,56503.95908,37967.32292,64362.01312,17779.41091,183063.5979,10949.45032,43520.93636,47933.83481,433990.146,61910.21203,81669.08071,71407.62606,138909.9024,82678.03982,183748.6818,475658.091,40837.58495,38203.50885,90366.13324,73279.8599,89895.54709,45859.85124,849635.576,433743.7949,405657.0459,44492.69481,109395.2102,205096.3002,2354380.088,511813.6089,103238.4671,522262.0275,4710105.501,2415714.199
6323,466.6336007,8.330763716,14310.49559,81172.55385,30362.95292,55430.28417,26498.92296,22641.0553,65293.78529,19570.21983,54765.24801,17135.95897,28805.13259,76028.87502,92957.92196,46277.50499,33188.85588,10688.81467,85167.83695,16588.74592,13454.39858,146900.2589,47162.9119,28156.58818,13607.74939,14535.41045,45524.79673,41143.6668,107856.3387,40580.36568,40635.49763,51248.64888,35449.182,34074.37879,38466.17965,64422.65095,38750.86829,163378.8921,33894.32633,142844.6286,57250.52607,15582.22519,0,193407.8805,29322.72042,37301.64108,34682.68278,197543.8884,117675.1009,48707.88607,46270.93764,147711.5248,141182.214,18563.95045,18208.7744,153524.7029,23668.22708,30129.13312,14766.88207
6333,327.7176444,8.303708359,4254.720101,64012.34997,6398.455294,21534.45853,13690.07127,29484.29798,12348.60012,8974.393019,11191.39539,31798.79312,60823.31139,3160.389678,14867.45896,46040.24619,14599.34405,893.5512382,10159.70545,21780.46777,41069.23649,9521.802751,26581.94476,13898.49867,21219.88664,17075.09915,9109.679676,8501.006773,50039.87203,24889.53408,33927.79597,31275.70519,25568.6005,90052.08533,10841.39468,14777.26465,21187.64592,43094.50124,23862.02727,80529.07164,20918.68643,112570.4175,0,23533.7241,19415.67119,37344.73179,28455.71479,46416.67283,46487.59668,45123.97873,26980.4812,13776.64703,12227.63049,47052.81332,85262.45013,52675.0008,103599.0474,23082.36183,13426.76549
