inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
QMVJNTDGDHSEDY	InChI=1S/C14H25O5P/c1-12(2,3)10-14(7-6-13(14,4)5)11(15)19-8-9-20(16,17)18/h6-7H,8-10H2,1-5H3,(H2,16,17,18)	C14H25O5P	138	-3109.014181106144	""	CC(C)(C)CC1(C=CC1(C)C)C(=O)OCCP(=O)(O)O	2.96099997	""	PubChem:(123583067)
NNBOEASZFHJMQU	InChI=1S/C14H25O5P/c1-5-18-12(15)9-7-11(14(3,4)20-17)8-10-13(16)19-6-2/h11H,5-10H2,1-4H3	C14H25O5P	139	-3109.080955759064	diethyl 4-(2-phosphorosopropan-2-yl)heptanedioate	CCOC(=O)CCC(CCC(=O)OCC)C(C)(C)P=O	1.82500005	""	PubChem:(22919006)
QEUCVPLQTAWOGC	InChI=1S/C14H25O5P/c1-12(2)7-6-8-14(5,11(12)16)13(3,4)10(15)9-20(17,18)19/h6-9H2,1-5H3,(H2,17,18,19)	C14H25O5P	140	-3110.427401247884	""	CC1(C)CCCC(C)(C1=O)C(C)(C)C(=O)CP(=O)(O)O	-0.270999998	""	PubChem:(89515502)
AAYVHWUNQWDQNK	InChI=1S/C14H25O5P/c1-5-17-20(16,18-6-2)13-8-7-9-14(11(3)10-13)19-12(4)15/h10-11,14H,5-9H2,1-4H3	C14H25O5P	141	-3110.5492107799755	""	CCOP(=O)(C1=CC(C)C(CCC1)OC(=O)C)OCC	1.68099999	""	PubChem:(101431194)
IFSXJJWVSVYXRK	InChI=1S/C14H23O4P/c1-5-16-19(15,17-6-2)13-10-14(3,4)11-8-7-9-12(11)18-13/h7,9-12H,5-6,8H2,1-4H3	C14H23O4P	142	-3110.639770308906	""	CCOP(=O)(C1=CC(C)(C)C2CC=CC2O1)OCC	2.62899995	""	PubChem:(102271648 102271649)
ACQLNRHYEPRUAQ	InChI=1S/C14H25O5P/c1-5-17-13(15)14(11-9-8-10-12(14)4)20(16,18-6-2)19-7-3/h8,10,12H,5-7,9,11H2,1-4H3	C14H25O5P	143	-3111.878832441334	""	CCOC(=O)C1(CCC=CC1C)P(=O)(OCC)OCC	1.70899999	""	PubChem:(44474209)
UQMDDFHMRQAMRF	InChI=1S/C14H23O4P/c1-3-5-7-12-9-10-14(17-18-19(15)16)13(11-12)8-6-4-2/h9-11,15-16H,3-8H2,1-2H3	C14H23O4P	144	-3113.241388745251	""	CCCCC1=CC=C(C(=C1)CCCC)OOP(O)O	4.23000002	""	PubChem:(87534762)
MMHNKQXOGDZGMY	InChI=1S/C14H23O4P/c1-14(2,3)13-10-12(15)8-7-11(13)6-4-5-9-19(16,17)18/h7-8,10,15H,4-6,9H2,1-3H3,(H2,16,17,18)	C14H23O4P	145	-3113.436516700474	""	CC(C)(C)C1=CC(=CC=C1CCCCP(=O)(O)O)O	2.88899994	""	PubChem:(69353301)
NBWVBBVWLYWCJI	InChI=1S/C14H23O4P/c1-6-7-10-17-19(15,16-5)18-14-9-8-11(2)12(3)13(14)4/h8-9H,6-7,10H2,1-5H3	C14H23O4P	146	-3115.6966855018964	""	CCCCOP(=O)(OC)OC1=CC=C(C)C(=C1C)C	3.67700005	""	PubChem:(68126124)
FOYQSVQFHOOXFQ	InChI=1S/C14H23O4P/c1-5-10(3)12-8-7-9-13(18-19(15,16)17)14(12)11(4)6-2/h7-11H,5-6H2,1-4H3,(H2,15,16,17)	C14H23O4P	147	-3115.81112345988	[2,3-di(butan-2-yl)phenyl] dihydrogen phosphate	CCC(C)C1=CC=CC(=C1C(C)CC)OP(=O)(O)O	3.92600012	""	PubChem:(22497707)
GUGIOBWZNKSQSV	InChI=1S/C14H25O5P/c1-13(2)7-6-8-14(3,12(13)16)9-11(15)10-20(17,18-4)19-5/h6-10H2,1-5H3	C14H25O5P	148	-3116.3989952200636	""	CC1(C)CCCC(C)(CC(=O)CP(=O)(OC)OC)C1=O	0.273000002	""	PubChem:(89515501)
PDEQHOMCAFKFDK	InChI=1S/C14H25O5P/c1-5-6-7-8-12-9-10-20(16,18-4)19-11(2)13(12)14(15)17-3/h12H,5-10H2,1-4H3	C14H25O5P	149	-3116.4253247904376	""	CCCCCC1CCP(=O)(OC)OC(=C1C(=O)OC)C	3.39299989	""	PubChem:(71451935 71451936 71457277)
MJJVVYFCYFSRGQ	InChI=1S/C14H23O4P/c1-4-10-17-19(15,18-11-5-2)12-13-6-8-14(16-3)9-7-13/h6-9H,4-5,10-12H2,1-3H3	C14H23O4P	150	-3116.4420820842947	""	CCCOP(=O)(CC1=CC=C(C=C1)OC)OCCC	2.70799994	""	PubChem:(85902968)
