inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
WXGUOXFIHAAIBQ	InChI=1S/C15H22O3/c1-10-5-4-6-11(14(16)17)9-12-13(18-12)15(2,3)8-7-10/h6-7,12-13H,4-5,8-9H2,1-3H3,(H,16,17)	C15H22O3	1735	-3091.9122116663893	""	CC1=CCC(C)(C)C2C(CC(=CCC1)C(=O)O)O2	2.7019999	""	KNApSAcK:(12462);Natural Products:(UNPD25115)
WBLTVUMJMJIOGQ	InChI=1S/C15H22O3/c1-8-4-5-10-9(13(17)18)6-11-12(16)14(2,3)7-15(8,10)11/h6,8,10-12,16H,4-5,7H2,1-3H3,(H,17,18)	C15H22O3	1736	-3091.9355150272145	pentalenate	CC1CCC2C(=CC3C(C(C)(C)CC123)O)C(=O)O	2.63100004	""	KNApSAcK:(21800);Natural Products:(UNPD29846);PubChem:(10988713 15706640 45782787 51694453 51694455 51694457 70678937 71448994 90658739 90658740 92468395 98621382 98621384 98621386 101637937 124871104 124871105);CHEBI:(68649 68665);KEGG:(C20405);biological;Biocyc:(CPDMETA-13643)
RLZOCGPQIJVIKI	InChI=1S/C15H22O3/c1-9-4-5-12-10(2)6-7-15(18,13(12)8-9)11(3)14(16)17/h8,10,12-13,18H,3-7H2,1-2H3,(H,16,17)	C15H22O3	1737	-3091.962089412266	""	CC1=CC2C(CC1)C(C)CCC2(C(=C)C(=O)O)O	3.01900005	""	KEGG Mine
FZQFDYYKSSBKAI	InChI=1S/C15H22O3/c1-4-12-15(5-2,6-3)18-17-14(16)13-10-8-7-9-11-13/h7-11H,4-6,12H2,1-3H3	C15H22O3	1738	-3091.968640732176	""	CCCC(CC)(CC)OOC(=O)C1=CC=CC=C1	4.67600012	""	PubChem:(101304467)
OELZSKIYPLDHED	InChI=1S/C15H22O3/c1-14(2,3)11-8-7-9-12(10-11)17-13(16)18-15(4,5)6/h7-10H,1-6H3	C15H22O3	1739	-3091.999621470608	tert-butyl (3-tert-butylphenyl) carbonate	CC(C)(C)C1=CC=CC(=C1)OC(=O)OC(C)(C)C	5.09499979	""	PubChem:(60279169)
IAFSGBUDGZXGOD	InChI=1S/C15H22O3/c1-9(2)13-8-12(7-11(4)15(16)17)6-10(3)14(13)18-5/h6,8-9,11H,7H2,1-5H3,(H,16,17)	C15H22O3	1740	-3092.045135267093	""	CC(C)C1=CC(=CC(=C1OC)C)CC(C)C(=O)O	3.24600005	""	PubChem:(117379523)
PZNIESIYYVZFNH	InChI=1S/C15H22O3/c1-8-4-5-11(9(2)15(17)18)6-13-10(3)14(16)7-12(8)13/h9,11-12,14,16H,1,4-7H2,2-3H3,(H,17,18)	C15H22O3	1741	-3092.0979686527635	2-Hydroxyguaia-1(10),11-dien-15-oic acid	C=C1CCC(CC2=C(C)C(CC12)O)C(C)C(=O)O	1.38600004	""	PubChem:(529450)
FTHWBVSTQSXYHM	InChI=1S/C15H22O3/c1-14(2,3)17-12-9-7-11(8-10-12)13(16)18-15(4,5)6/h7-10H,1-6H3	C15H22O3	1742	-3092.116406396375	""	CC(C)(C)OC1=CC=C(C=C1)C(=O)OC(C)(C)C	4.47300005	""	PubChem:(12180188)
BLMSAZGQVYMECU	InChI=1S/C15H24O4/c1-5-7-10-9(3)13(16)11(8-6-2)14(17)12(10)15(18)19-4/h9-12H,5-8H2,1-4H3	C15H24O4	1743	-3092.142699953821	methyl 5-methyl-2,4-dioxo-3,6-dipropylcyclohexane-1-carboxylate	CCCC1C(C)C(=O)C(CCC)C(=O)C1C(=O)OC	2.23300004	""	PubChem:(20469272)
WIKZOJOWOAPHTE	InChI=1S/C15H22O3/c1-5-10-9-14(18-15(16)17)13(8-4)12(7-3)11(10)6-2/h9H,5-8H2,1-4H3,(H,16,17)	C15H22O3	1744	-3092.191660721033	""	CCC1=C(CC)C(=C(CC)C(=C1)OC(=O)O)CC	5.05000019	""	PubChem:(87299974)
BXQDVBREABORSS	InChI=1S/C15H24O4/c1-4-6-7-12(5-2)10-13(8-9-14(16)17)11(3)15(18)19/h8-9,12-13H,3-7,10H2,1-2H3,(H,16,17)(H,18,19)	C15H24O4	1745	-3092.2393146195095	""	CCCCC(CC)CC(C=CC(=O)O)C(=C)C(=O)O	4.546	""	PubChem:(56637882)
