inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
BSSPPOJFRCTKSS	InChI=1S/C11H23NO6/c1-2-3-4-9(16)12-5-7(14)10(17)11(18)8(15)6-13/h7-8,10-11,13-15,17-18H,2-6H2,1H3,(H,12,16)	C11H23NO6	20	-168.8198442771086	""	CCCCC(=NCC(C(C(C(CO)O)O)O)O)O	-1.87800002	""	PubChem:(89649804)
UEFRDQSMQXDWTO	InChI=1S/C11H21NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h8-9,13H,5-7H2,1-4H3	C11H21NO5	21	-169.09432023090798	Hydroxybutyrylcarnitine	CC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O	-1.41999996	""	training set;HMDB:(62735);Natural Products:(UNPD5598);PubChem:(15946383 15946384 53481617 53481618 54348826 71464477 90659885 90659886 124350798 124350799 124350800);YMDB Mine;CHEBI:(72995 84842);biological;KEGG Mine
HDPYQHJMKLMOQC	InChI=1S/C11H21NO5/c1-8(7-13)11(16)17-9(5-10(14)15)6-12(2,3)4/h8-9,13H,5-7H2,1-4H3	C11H21NO5	22	-169.34444006643585	(3R)-3-[(2R)-3-hydroxy-2-methylpropanoyl]oxy-4-(trimethylazaniumyl)butanoate	CC(CO)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C	-1.58700001	""	PubChem:(11579664 11579665 53871747 73018292);biological;Natural Products:(UNPD106967)
VOJSBYDCYHHYET	InChI=1S/C11H23NO6/c1-14-3-4-16-5-6-17-7-8-18-9-10(12)11(13)15-2/h10H,3-9,12H2,1-2H3	C11H23NO6	23	-169.85961099901462	""	COCCOCCOCCOCC(C(=O)OC)N	-1.51999998	""	PubChem:(113427271)
LRLWVTXQUAVDGB	InChI=1S/C11H21NO5/c1-3-4-9(11(14)15)12-10(13)5-6-17-8-7-16-2/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	24	-170.58995727995634	""	CCCC(C(=O)O)N=C(CCOCCOC)O	0.174999997	""	PubChem:(120236569)
HLVVOYOHXSYFAE	InChI=1S/C11H21NO5/c1-2-3-10(13)16-8-6-15-7-9-17-11(14)4-5-12/h2-9,12H2,1H3	C11H21NO5	25	-170.83967460456313	""	CCCC(=O)OCCOCCOC(=O)CCN	-0.0419999994	""	PubChem:(90142858)
MARDTQWGLCBPRN	InChI=1S/C11H23NO6/c1-3-7-8(14)10(17-5-6(13)4-12)9(15)11(16-2)18-7/h6-11,13-15H,3-5,12H2,1-2H3	C11H23NO6	26	-171.91913886043733	4-(3-amino-2-hydroxypropoxy)-2-ethyl-6-methoxyoxane-3,5-diol	CCC1C(C(C(C(OC)O1)O)OCC(CN)O)O	-2.33299994	""	PubChem:(20695725)
DWUSCEWYRWGMTI	InChI=1S/C11H23NO6/c1-2-15-3-4-16-5-6-17-7-8-18-9-10(12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)	C11H23NO6	27	-172.3037981299395	""	CCOCCOCCOCCOCC(C(=O)O)N	-3.58400011	""	PubChem:(87137108)
DKUZHSDZSMQOGQ	InChI=1S/C11H23NO6/c12-2-4-16-6-8-18-10-9-17-7-5-15-3-1-11(13)14/h1-10,12H2,(H,13,14)	C11H23NO6	28	-172.55398405349575	AmbotzPEG1370	C(COCCOCCOCCOCCN)C(=O)O	-1.78600001	""	PubChem:(22731902);biological
VQYDWOOCYBGARZ	InChI=1S/C11H23NO6/c1-12(2)4-3-5-18-11(9(16)7-14)10(17)8(15)6-13/h7-11,13,15-17H,3-6H2,1-2H3	C11H23NO6	29	-172.82900484299705	3-O-[3-(dimethylamino)propyl]-D-glucose	CN(C)CCCOC(C(C=O)O)C(C(CO)O)O	-2.59500003	""	PubChem:(124164 53461936);biological
